,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
17,-715.7760000000002,671.4760000000001,2018-07-21 22:38:11.523762,-861.3132608695653,2018-07-21 22:38:10.852112,3,-20.61600000000001,-163.08100000000005,-136.88549999999998,58.56860106926343,2018-07-21 22:38:11.024943,647.8857393124064,2018-07-21 22:38:10.472248,H1a2,2018-07-21 22:38:11.188024,17,6,114.0
18,-834.557,655.6510000000002,2018-07-21 22:38:12.187325,-861.3132608695653,2018-07-21 22:38:11.523762,3,,-183.697,-136.88549999999998,58.56860106926343,2018-07-21 22:38:11.675803,647.8857393124064,2018-07-21 22:38:11.024943,H1a2,2018-07-21 22:38:11.859500,18,7,114.0
19,-839.3480000000002,671.696,2018-07-21 22:38:12.850999,-861.3132608695653,2018-07-21 22:38:12.187325,3,,,-136.88549999999998,58.56860106926343,,647.8857393124064,2018-07-21 22:38:11.675803,H1a2,2018-07-21 22:38:12.515151,19,8,114.0
20,-82.17399999999998,655.8639999999998,2018-07-21 22:38:13.514779,-861.3132608695653,2018-07-21 22:38:12.850999,3,-98.995,-82.17399999999998,-136.88549999999998,58.56860106926343,2018-07-21 22:38:13.104673,647.8857393124064,2018-07-21 22:38:13.104673,H1a2,2018-07-21 22:38:13.186847,20,9,114.0
21,-181.169,671.437,2018-07-21 22:38:14.178430,-861.3132608695653,2018-07-21 22:38:13.514779,3,61.27300000000001,-181.169,-136.88549999999998,58.56860106926343,2018-07-21 22:38:13.661542,647.8857393124064,2018-07-21 22:38:13.661542,H1a2,2018-07-21 22:38:13.842711,21,10,114.0
22,-119.896,671.8589999999998,2018-07-21 22:38:14.850078,-861.3132608695653,2018-07-21 22:38:14.178430,3,20.108999999999995,-119.896,-136.88549999999998,58.56860106926343,2018-07-21 22:38:14.394252,647.8857393124064,2018-07-21 22:38:14.394252,H1a2,2018-07-21 22:38:14.514148,22,11,114.0
23,-746.7080000000002,655.622,2018-07-21 22:38:15.513818,-861.3132608695653,2018-07-21 22:38:14.850078,3,-29.05099999999999,-99.787,-136.88549999999998,58.56860106926343,2018-07-21 22:38:15.086220,647.8857393124064,2018-07-21 22:38:14.439299,H1a2,2018-07-21 22:38:15.186007,23,12,114.0
24,-755.409,671.738,2018-07-21 22:38:16.177498,-861.3132608695653,2018-07-21 22:38:15.513818,3,-123.193,-128.838,-136.88549999999998,58.56860106926343,2018-07-21 22:38:15.712791,647.8857393124064,2018-07-21 22:38:15.086220,H1a2,2018-07-21 22:38:15.841629,24,13,114.0
25,-1374.0320000000004,671.4789999999998,2018-07-21 22:38:16.849107,-861.3132608695653,2018-07-21 22:38:16.177498,3,,-252.031,-136.88549999999998,58.56860106926343,2018-07-21 22:38:16.261336,647.8857393124064,2018-07-21 22:38:15.139335,H1a2,2018-07-21 22:38:16.513367,25,14,114.0
26,-1472.055,655.932,2018-07-21 22:38:17.512812,-861.3132608695653,2018-07-21 22:38:16.849107,3,,,-136.88549999999998,58.56860106926343,,647.8857393124064,2018-07-21 22:38:15.712791,H1a2,2018-07-21 22:38:17.184846,26,15,114.0
27,-1579.442,671.403,2018-07-21 22:38:18.176480,-861.3132608695653,2018-07-21 22:38:17.512812,3,90.029,-224.171,-136.88549999999998,58.56860106926343,2018-07-21 22:38:17.616607,647.8857393124064,2018-07-21 22:38:16.261336,H1a2,2018-07-21 22:38:17.840778,27,16,114.0
28,-1743.094,655.85,2018-07-21 22:38:18.840106,-861.3132608695653,2018-07-21 22:38:18.176480,3,-17.215000000000003,-134.142,-136.88549999999998,58.56860106926343,2018-07-21 22:38:18.378039,647.8857393124064,2018-07-21 22:38:16.769087,H1a2,2018-07-21 22:38:18.512181,28,17,114.0
