,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony
28,381.784,2018-05-02 16:55:14.194182,H2a4,2018-05-02 16:55:13.812398,439,0 days 00:00:00.319809000,2018-05-02 16:55:13.972302500,2018-05-02 16:55:13.652424000,2018-05-02 16:55:13.870664,58.266
29,397.589,2018-05-02 16:55:14.529796,H2a4,2018-05-02 16:55:14.132207,439,0 days 00:00:00.335844000,2018-05-02 16:55:14.300129000,2018-05-02 16:55:13.972302500,2018-05-02 16:55:14.194182,61.975
30,336.073,2018-05-02 16:55:14.804124,H2a4,2018-05-02 16:55:14.468051,439,0 days 00:00:00.319802000,2018-05-02 16:55:14.627952000,2018-05-02 16:55:14.300129000,2018-05-02 16:55:14.529796,61.745
31,360.174,2018-05-02 16:55:15.148027,H2a4,2018-05-02 16:55:14.787853,439,0 days 00:00:00.319892000,2018-05-02 16:55:14.947799000,2018-05-02 16:55:14.627952000,2018-05-02 16:55:14.804124,16.271
32,371.942,2018-05-02 16:55:15.479687,H2a4,2018-05-02 16:55:15.107745,439,0 days 00:00:00.319724000,2018-05-02 16:55:15.267607000,2018-05-02 16:55:14.947799000,2018-05-02 16:55:15.148027,40.282
33,1296.83,2018-05-02 16:55:16.724299,H2a4,2018-05-02 16:55:15.427469,439,0 days 00:00:00.320004000,2018-05-02 16:55:15.587471000,2018-05-02 16:55:15.267607000,2018-05-02 16:55:15.479687,52.218
34,1300.246,2018-05-02 16:55:17.047719,H2a4,2018-05-02 16:55:15.747473,439,0 days 00:00:00.303739000,2018-05-02 16:55:15.899342500,2018-05-02 16:55:15.587471000,,
35,1279.058,2018-05-02 16:55:17.330270,H2a4,2018-05-02 16:55:16.051212,439,0 days 00:00:00.319929000,2018-05-02 16:55:16.211176500,2018-05-02 16:55:15.899342500,,
36,1282.609,2018-05-02 16:55:17.653750,H2a4,2018-05-02 16:55:16.371141,439,0 days 00:00:00.303785000,2018-05-02 16:55:16.523033500,2018-05-02 16:55:16.211176500,,
37,1298.108,2018-05-02 16:55:17.973034,H2a4,2018-05-02 16:55:16.674926,439,0 days 00:00:00.319848000,2018-05-02 16:55:16.834850000,2018-05-02 16:55:16.523033500,2018-05-02 16:55:16.724299,49.373
38,1293.672,2018-05-02 16:55:18.288446,H2a4,2018-05-02 16:55:16.994774,439,0 days 00:00:00.319974000,2018-05-02 16:55:17.154761000,2018-05-02 16:55:16.834850000,2018-05-02 16:55:17.047719,52.945
39,1305.364,2018-05-02 16:55:18.620112,H2a4,2018-05-02 16:55:17.314748,439,0 days 00:00:00.303716000,2018-05-02 16:55:17.466606000,2018-05-02 16:55:17.154761000,2018-05-02 16:55:17.330270,15.522
40,1341.287,2018-05-02 16:55:18.959751,H2a4,2018-05-02 16:55:17.618464,439,0 days 00:00:00.320016000,2018-05-02 16:55:17.778472000,2018-05-02 16:55:17.466606000,2018-05-02 16:55:17.653750,35.286
41,1352.883,2018-05-02 16:55:19.291363,H2a4,2018-05-02 16:55:17.938480,439,0 days 00:00:00.319953000,2018-05-02 16:55:18.098456500,2018-05-02 16:55:17.778472000,2018-05-02 16:55:17.973034,34.554
42,1364.591,2018-05-02 16:55:19.623024,H2a4,2018-05-02 16:55:18.258433,439,0 days 00:00:00.335819000,2018-05-02 16:55:18.426342500,2018-05-02 16:55:18.098456500,2018-05-02 16:55:18.288446,30.013
43,1319.446,2018-05-02 16:55:19.913698,H2a4,2018-05-02 16:55:18.594252,439,0 days 00:00:00.319620000,2018-05-02 16:55:18.754062000,2018-05-02 16:55:18.426342500,2018-05-02 16:55:18.620112,25.86
44,1388.731,2018-05-02 16:55:20.302603,H2a4,2018-05-02 16:55:18.913872,439,0 days 00:00:00.319910000,2018-05-02 16:55:19.073827000,2018-05-02 16:55:18.754062000,2018-05-02 16:55:18.959751,45.879
45,4204.973,2018-05-02 16:55:23.438755,H2a4,2018-05-02 16:55:19.233782,439,0 days 00:00:00.335800000,2018-05-02 16:55:19.401682000,2018-05-02 16:55:19.073827000,2018-05-02 16:55:19.291363,57.581
46,5150.634,2018-05-02 16:55:24.720216,H2a4,2018-05-02 16:55:19.569582,439,0 days 00:00:00.319757000,2018-05-02 16:55:19.729460500,2018-05-02 16:55:19.401682000,2018-05-02 16:55:19.623024,53.442
47,6030.81,2018-05-02 16:55:25.920149,H2a4,2018-05-02 16:55:19.889339,439,0 days 00:00:00.335794000,2018-05-02 16:55:20.057236000,2018-05-02 16:55:19.729460500,2018-05-02 16:55:19.913698,24.359
48,6570.843,2018-05-02 16:55:26.795976,H2a4,2018-05-02 16:55:20.225133,439,0 days 00:00:03.070509000,2018-05-02 16:55:21.760387500,2018-05-02 16:55:20.057236000,2018-05-02 16:55:20.302603,77.47
49,4343.686,2018-05-02 16:55:27.639328,H2a1,2018-05-02 16:55:23.295642,439,0 days 00:00:01.343399000,2018-05-02 16:55:23.967341500,2018-05-02 16:55:21.760387500,2018-05-02 16:55:23.438755,143.113
50,3647.217,2018-05-02 16:55:28.286258,H2a1,2018-05-02 16:55:24.639041,439,0 days 00:00:01.087419000,2018-05-02 16:55:25.182750500,2018-05-02 16:55:23.967341500,2018-05-02 16:55:24.720216,81.175
51,3149.266,2018-05-02 16:55:28.875726,H2a1,2018-05-02 16:55:25.726460,439,0 days 00:00:00.911688000,2018-05-02 16:55:26.182304000,2018-05-02 16:55:25.182750500,2018-05-02 16:55:25.920149,193.689
