,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,,
27,-636.819,05:51.0,A1a2,05:51.6,1779,673.379,05:52.0,05:51.3,05:51.7,35.876,42.06078571,44.16011359,-625.2396071,42.68460169,0,-12.373,32.6408463,3.2351537
28,-637.503,05:51.7,A1a2,05:52.3,1779,650.159,05:52.6,05:52.0,05:52.3,23.503,42.06078571,44.16011359,-625.2396071,42.68460169,0,13.886,32.6408463,-9.1378463
29,-626.656,05:52.3,A1a2,05:53.0,1779,673.378,05:53.3,05:52.6,05:53.0,37.389,42.06078571,44.16011359,-625.2396071,42.68460169,0,-10.477,32.6408463,4.7481537
30,-635.989,05:53.0,A1a2,05:53.6,1779,673.379,05:54.0,05:53.3,05:53.7,26.912,42.06078571,44.16011359,-625.2396071,42.68460169,0,5.213,32.6408463,-5.7288463
31,-646.467,05:53.7,A1a2,05:54.3,1779,673.379,05:54.7,05:54.0,05:54.3,32.125,42.06078571,44.16011359,-625.2396071,42.68460169,0,0.015,32.6408463,-0.5158463
32,-641.254,05:54.3,A1a2,05:55.0,1779,650.158,05:55.3,05:54.7,05:55.0,32.14,42.06078571,44.16011359,-625.2396071,42.68460169,0,-0.13,32.6408463,-0.5008463
33,-618.018,05:55.0,A1a2,05:55.6,1779,673.379,05:56.0,05:55.3,05:55.7,32.01,42.06078571,44.16011359,-625.2396071,42.68460169,0,-0.381,32.6408463,-0.6308463
34,-641.369,05:55.7,A1a2,05:56.3,1779,673.379,05:56.7,05:56.0,05:56.3,31.629,42.06078571,44.16011359,-625.2396071,42.68460169,0,-5.875,32.6408463,-1.0118463
35,-641.75,05:56.3,A1a2,05:57.0,1779,650.158,05:57.3,05:56.7,05:57.0,25.754,42.06078571,44.16011359,-625.2396071,42.68460169,0,184.671,32.6408463,-6.8868463
36,-624.404,05:57.0,A1a2,05:57.6,1779,673.379,05:58.0,05:57.3,05:57.8,210.425,42.06078571,44.16011359,-625.2396071,42.68460169,0,-172.51,32.6408463,177.7841537
37,-462.954,05:57.8,A1a2,05:58.3,1779,673.379,05:58.6,05:58.0,05:58.4,37.915,42.06078571,44.16011359,-625.2396071,42.68460169,0,-5.898,32.6408463,5.2741537
38,-635.464,05:58.4,A1a2,05:59.0,1779,673.378,05:59.3,05:58.6,05:59.0,32.017,42.06078571,44.16011359,-625.2396071,42.68460169,0,-17.08,32.6408463,-0.6238463
39,-641.361,05:59.0,A1a2,05:59.7,1779,650.159,06:00.0,05:59.3,05:59.7,14.937,42.06078571,44.16011359,-625.2396071,42.68460169,0,20.313,32.6408463,-17.7038463
40,-635.222,05:59.7,A1a2,06:00.3,1779,673.379,06:00.6,06:00.0,06:00.3,35.25,42.06078571,44.16011359,-625.2396071,42.68460169,0,,32.6408463,2.6091537
41,-410.573,07:13.5,A1a3,07:13.9,1779,441.179,07:14.1,07:13.6,07:13.9,27.443,36.17627907,36.6257997,-408.1594419,37.44631709,0,11.584,32.6408463,-5.1978463
