,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
106,-401.234,335.7030000000001,2018-07-21 21:57:52.009666,-182.16095555555557,2018-07-21 21:57:51.673887,0,-36.80200000000001,-90.06700000000002,-43.77546666666667,42.85346517366954,2018-07-21 21:57:51.751748,190.86728179536823,2018-07-21 21:57:51.440581,H1a4,2018-07-21 21:57:51.841815,106,38,131.0
107,-425.77,335.905,2018-07-21 21:57:52.345470,-182.16095555555557,2018-07-21 21:57:52.009666,0,53.028999999999996,-126.869,-43.77546666666667,42.85346517366954,2018-07-21 21:57:52.050649,190.86728179536823,2018-07-21 21:57:51.751748,H1a4,2018-07-21 21:57:52.177518,107,39,131.0
108,-462.774,335.846,2018-07-21 21:57:52.681346,-182.16095555555557,2018-07-21 21:57:52.345470,0,-4.088999999999999,-73.84,-43.77546666666667,42.85346517366954,2018-07-21 21:57:52.439583,190.86728179536823,2018-07-21 21:57:52.050649,H1a4,2018-07-21 21:57:52.513423,108,40,131.0
109,-409.686,319.682,2018-07-21 21:57:53.009110,-182.16095555555557,2018-07-21 21:57:52.681346,0,19.807000000000002,-77.929,-43.77546666666667,42.85346517366954,2018-07-21 21:57:52.771340,190.86728179536823,2018-07-21 21:57:52.439583,H1a4,2018-07-21 21:57:52.849269,109,41,131.0
110,-397.611,335.858,2018-07-21 21:57:53.336880,-182.16095555555557,2018-07-21 21:57:53.009110,0,-12.123999999999995,-58.122,-43.77546666666667,42.85346517366954,2018-07-21 21:57:53.110829,190.86728179536823,2018-07-21 21:57:52.771340,H1a4,2018-07-21 21:57:53.168951,110,42,131.0
111,-393.98,335.992,2018-07-21 21:57:53.672805,-182.16095555555557,2018-07-21 21:57:53.336880,0,3.7239999999999895,-70.24600000000001,-43.77546666666667,42.85346517366954,2018-07-21 21:57:53.434563,190.86728179536823,2018-07-21 21:57:53.110829,H1a4,2018-07-21 21:57:53.504809,111,43,131.0
112,-406.23800000000006,335.7480000000001,2018-07-21 21:57:54.008675,-182.16095555555557,2018-07-21 21:57:53.672805,0,0.030000000000001137,-66.52199999999999,-43.77546666666667,42.85346517366954,2018-07-21 21:57:53.774279,190.86728179536823,2018-07-21 21:57:53.434563,H1a4,2018-07-21 21:57:53.840801,112,44,131.0
113,-402.27,335.927,2018-07-21 21:57:54.344513,-182.16095555555557,2018-07-21 21:57:54.008675,0,,-66.492,-43.77546666666667,42.85346517366954,2018-07-21 21:57:54.110057,190.86728179536823,2018-07-21 21:57:53.774279,H1a4,2018-07-21 21:57:54.176549,113,45,131.0
114,-464.759,1343.3270000000002,2018-07-21 21:56:37.191124,-310.73245454545446,2018-07-21 21:56:35.855787,0,56.795000000000016,-464.759,-310.73245454545446,70.14800656948654,2018-07-21 21:56:36.054702,70.14800656948654,2018-07-21 21:56:36.054702,H1b1,2018-07-21 21:56:36.519461,114,1,131.0
115,-407.964,1327.2820000000004,2018-07-21 21:56:38.526429,-310.73245454545446,2018-07-21 21:56:37.191124,0,97.55799999999999,-407.964,-310.73245454545446,70.14800656948654,2018-07-21 21:56:37.454824,70.14800656948654,2018-07-21 21:56:37.454824,H1b1,2018-07-21 21:56:37.862788,115,2,131.0
116,-310.406,1327.197,2018-07-21 21:56:39.853668,-310.73245454545446,2018-07-21 21:56:38.526429,0,7.389000000000008,-310.406,-310.73245454545446,70.14800656948654,2018-07-21 21:56:38.879664,70.14800656948654,2018-07-21 21:56:38.879664,H1b1,2018-07-21 21:56:39.190070,116,3,131.0
117,-303.017,1343.445,2018-07-21 21:56:41.188989,-310.73245454545446,2018-07-21 21:56:39.853668,0,-21.06,-303.017,-310.73245454545446,70.14800656948654,2018-07-21 21:56:40.214250,70.14800656948654,2018-07-21 21:56:40.214250,H1b1,2018-07-21 21:56:40.517267,117,4,131.0
118,-324.077,1327.1729999999998,2018-07-21 21:56:42.524299,-310.73245454545446,2018-07-21 21:56:41.188989,0,20.024999999999977,-324.077,-310.73245454545446,70.14800656948654,2018-07-21 21:56:41.536635,70.14800656948654,2018-07-21 21:56:41.536635,H1b1,2018-07-21 21:56:41.860712,118,5,131.0
119,-304.052,1327.497,2018-07-21 21:56:43.851634,-310.73245454545446,2018-07-21 21:56:42.524299,0,19.32800000000003,-304.052,-310.73245454545446,70.14800656948654,2018-07-21 21:56:42.883833,70.14800656948654,2018-07-21 21:56:42.883833,H1b1,2018-07-21 21:56:43.187885,119,6,131.0
120,-284.724,1327.265,2018-07-21 21:56:45.179015,-310.73245454545446,2018-07-21 21:56:43.851634,0,72.97,-284.724,-310.73245454545446,70.14800656948654,2018-07-21 21:56:44.230658,70.14800656948654,2018-07-21 21:56:44.230658,H1b1,2018-07-21 21:56:44.515382,120,7,131.0
121,-211.754,1343.463,2018-07-21 21:56:46.514378,-310.73245454545446,2018-07-21 21:56:45.179015,0,-61.99600000000001,-211.754,-310.73245454545446,70.14800656948654,2018-07-21 21:56:45.630893,70.14800656948654,2018-07-21 21:56:45.630893,H1b1,2018-07-21 21:56:45.842647,121,8,131.0
