,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
17,6,-191.267,2018-07-20 23:06:00.961634,H1a2,2018-07-20 23:06:01.152901,129.0,671.568,2018-07-20 23:06:01.488685,2018-07-20 23:06:00.825004,2018-07-20 23:06:00.961634,-191.267,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-3.8379999999999934
18,7,-195.105,2018-07-20 23:06:01.629364,H1a2,2018-07-20 23:06:01.824469,129.0,656.0160000000001,2018-07-20 23:06:02.152477,2018-07-20 23:06:01.488685,2018-07-20 23:06:01.629364,-195.105,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,55.98999999999998
19,8,-139.115,2018-07-20 23:06:02.341370,H1a2,2018-07-20 23:06:02.480485,129.0,671.7080000000001,2018-07-20 23:06:02.816339,2018-07-20 23:06:02.152477,2018-07-20 23:06:02.341370,-139.115,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-65.31799999999998
20,9,-204.433,2018-07-20 23:06:02.947760,H1a2,2018-07-20 23:06:03.152193,129.0,671.565,2018-07-20 23:06:03.487976,2018-07-20 23:06:02.816339,2018-07-20 23:06:02.947760,-204.433,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-4.376000000000005
21,10,-208.80900000000003,2018-07-20 23:06:03.614949,H1a2,2018-07-20 23:06:03.823758,129.0,655.711,2018-07-20 23:06:04.151614,2018-07-20 23:06:03.487976,2018-07-20 23:06:03.614949,-208.80900000000003,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,77.01400000000002
22,11,-131.795,2018-07-20 23:06:04.347674,H1a2,2018-07-20 23:06:04.479469,129.0,671.763,2018-07-20 23:06:04.815351,2018-07-20 23:06:04.151614,2018-07-20 23:06:04.347674,-131.795,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-77.85600000000002
23,12,-209.65099999999998,2018-07-20 23:06:04.941581,H1a2,2018-07-20 23:06:05.151232,129.0,671.722,2018-07-20 23:06:05.487093,2018-07-20 23:06:04.815351,2018-07-20 23:06:04.941581,-209.65099999999998,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,19.731000000000023
24,13,-189.92,2018-07-20 23:06:05.633034,H1a2,2018-07-20 23:06:05.822954,129.0,655.823,2018-07-20 23:06:06.150865,2018-07-20 23:06:05.487093,2018-07-20 23:06:05.633034,-189.92,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-0.7270000000000039
25,14,-190.64700000000002,2018-07-20 23:06:06.288130,H1a2,2018-07-20 23:06:06.478777,129.0,672.082,2018-07-20 23:06:06.814818,2018-07-20 23:06:06.150865,2018-07-20 23:06:06.288130,-190.64700000000002,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,-4.486999999999996
26,15,-195.13400000000001,2018-07-20 23:06:06.955725,H1a2,2018-07-20 23:06:07.150859,129.0,655.049,2018-07-20 23:06:07.478383,2018-07-20 23:06:06.814818,2018-07-20 23:06:06.955725,-195.13400000000001,-176.35395454545457,39.29271814698989,53.70247826086957,320.2268575119647,1,
