,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony
28,1039.974,2018-05-02 16:43:32.085304,H2a4,2018-05-02 16:43:31.045330,536,0 days 00:00:00.319794000,2018-05-02 16:43:31.205227000,2018-05-02 16:43:30.885338000,2018-05-02 16:43:31.090392,45.062
29,1633.212,2018-05-02 16:43:32.998336,H2a4,2018-05-02 16:43:31.365124,536,0 days 00:00:00.335867000,2018-05-02 16:43:31.533057500,2018-05-02 16:43:31.205227000,2018-05-02 16:43:31.409806,44.682
30,1624.851,2018-05-02 16:43:33.325842,H2a4,2018-05-02 16:43:31.700991,536,0 days 00:00:00.319846000,2018-05-02 16:43:31.860914000,2018-05-02 16:43:31.533057500,2018-05-02 16:43:31.770078,69.087
31,1636.639,2018-05-02 16:43:33.657476,H2a4,2018-05-02 16:43:32.020837,536,0 days 00:00:00.319767000,2018-05-02 16:43:32.180720500,2018-05-02 16:43:31.860914000,2018-05-02 16:43:32.085304,64.467
32,1611.75,2018-05-02 16:43:33.952354,H2a4,2018-05-02 16:43:32.340604,536,0 days 00:00:00.319938000,2018-05-02 16:43:32.500573000,2018-05-02 16:43:32.180720500,,
33,1611.053,2018-05-02 16:43:34.271595,H2a4,2018-05-02 16:43:32.660542,536,0 days 00:00:00.303800000,2018-05-02 16:43:32.812442000,2018-05-02 16:43:32.500573000,,
34,1622.598,2018-05-02 16:43:34.586940,H2a4,2018-05-02 16:43:32.964342,536,0 days 00:00:00.319829000,2018-05-02 16:43:33.124256500,2018-05-02 16:43:32.812442000,2018-05-02 16:43:32.998336,33.994
35,1613.846,2018-05-02 16:43:34.898017,H2a4,2018-05-02 16:43:33.284171,536,0 days 00:00:00.319811000,2018-05-02 16:43:33.444076500,2018-05-02 16:43:33.124256500,2018-05-02 16:43:33.325842,41.671
36,1605.149,2018-05-02 16:43:35.209131,H2a4,2018-05-02 16:43:33.603982,536,0 days 00:00:00.303833000,2018-05-02 16:43:33.755898500,2018-05-02 16:43:33.444076500,2018-05-02 16:43:33.657476,53.494
37,1608.679,2018-05-02 16:43:35.516494,H2a4,2018-05-02 16:43:33.907815,536,0 days 00:00:00.319921000,2018-05-02 16:43:34.067775500,2018-05-02 16:43:33.755898500,2018-05-02 16:43:33.952354,44.539
38,1595.909,2018-05-02 16:43:35.823645,H2a4,2018-05-02 16:43:34.227736,536,0 days 00:00:00.319790000,2018-05-02 16:43:34.387631000,2018-05-02 16:43:34.067775500,2018-05-02 16:43:34.271595,43.859
39,1967.818,2018-05-02 16:43:36.515344,H2a4,2018-05-02 16:43:34.547526,536,0 days 00:00:00.303873000,2018-05-02 16:43:34.699462500,2018-05-02 16:43:34.387631000,2018-05-02 16:43:34.586940,39.414
40,2012.291,2018-05-02 16:43:36.863690,H2a4,2018-05-02 16:43:34.851399,536,0 days 00:00:00.320072000,2018-05-02 16:43:35.011435000,2018-05-02 16:43:34.699462500,2018-05-02 16:43:34.898017,46.618
41,2027.685,2018-05-02 16:43:37.199156,H2a4,2018-05-02 16:43:35.171471,536,0 days 00:00:00.319910000,2018-05-02 16:43:35.331426000,2018-05-02 16:43:35.011435000,2018-05-02 16:43:35.209131,37.66
42,2006.618,2018-05-02 16:43:37.497999,H2a4,2018-05-02 16:43:35.491381,536,0 days 00:00:00.319868000,2018-05-02 16:43:35.651315000,2018-05-02 16:43:35.331426000,2018-05-02 16:43:35.516494,25.113
43,,,H2a4,2018-05-02 16:43:35.811249,536,0 days 00:00:00.335698000,2018-05-02 16:43:35.979098000,2018-05-02 16:43:35.651315000,2018-05-02 16:43:35.823645,12.396
44,,,H2a4,2018-05-02 16:43:36.146947,536,0 days 00:00:00.319912000,2018-05-02 16:43:36.306903000,2018-05-02 16:43:35.979098000,,
45,,,H2a4,2018-05-02 16:43:36.466859,536,0 days 00:00:00.319939000,2018-05-02 16:43:36.626828500,2018-05-02 16:43:36.306903000,,
46,,,H2a4,2018-05-02 16:43:36.786798,536,0 days 00:00:00.335622000,2018-05-02 16:43:36.954609000,2018-05-02 16:43:36.626828500,,
47,,,H2a4,2018-05-02 16:43:37.122420,536,0 days 00:00:00.335844000,2018-05-02 16:43:37.290342000,2018-05-02 16:43:36.954609000,,
48,,,H2a4,2018-05-02 16:43:37.458264,536,,,2018-05-02 16:43:37.290342000,,
