,T-Stat,p-value,x
262,-6.293854701983672,4.920529599056282e-10,A2a3H2b3
558,6.296922723100377,5.242335933130967e-10,H1b4A3b3
283,-6.212649074547842,8.77968743701855e-10,A2a4H2a4
55,-6.1906961767799835,9.144587855244711e-10,A1a3A3b4
428,6.354733457176075,1.0583695472660295e-09,H1a2H2b1
471,6.175380596297864,1.2445200474214766e-09,H1a4A4b4
357,6.1358192257702795,1.4091279552432223e-09,A2b3H2b2
474,6.06938373499277,1.687573729557125e-09,H1a4H2a3
10,-6.20353816806255,1.8839560607291014e-09,A1a1A4a3
435,-6.036432308921705,2.2184521420501807e-09,H1a3A3a4
450,-5.975699692254862,3.048593758899633e-09,H1a3H2a3
14,-6.113150998170767,3.5576989120586906e-09,A1a1A4b3
46,-5.956961422953565,3.637212575650147e-09,A1a2H2b3
333,5.971243623113839,3.6562186512250876e-09,A2b2H2b2
409,-6.100500743370738,3.795204091978682e-09,H1a2A3a2
381,5.950570725955703,4.236175274633183e-09,A2b4H2b2
465,5.985109336140645,4.797637339107654e-09,H1a4A4a2
359,-5.934013921896733,4.897926682105372e-09,A2b3H2b4
520,5.806664940321159,1.1540822734173657e-08,H1b2H2a1
309,5.779788475729049,1.159025014638982e-08,A2b1H2b2
458,5.784876634702639,1.2246590787463992e-08,H1a4A3a3
239,-5.643819735839178,2.480205064195269e-08,A2a2H2b4
469,5.644011877193934,3.186977211035974e-08,H1a4A4b2
530,-5.589045145727176,3.2035312002794556e-08,H1b3A3a3
484,-5.710437129698806,3.259473899378599e-08,H1b1A3b1
545,5.559386423481879,3.470752721970387e-08,H1b3H2a2
79,-5.559069717939486,3.8593082556237206e-08,A1a4A3b4
335,-5.553058641950023,4.2376637019727314e-08,A2b2H2b4
461,5.609512380111897,5.720311445567553e-08,H1a4A3b2
6,-5.553667188355714,6.220277546667064e-08,A1a1A3b3
562,5.427664261613224,7.832320878504866e-08,H1b4A4a3
420,-5.378338075403077,1.4504087810343523e-07,H1a2A4b1
93,5.304981176299684,1.6031428023509018e-07,A1a4H2b2
561,5.296326102746765,1.7555994811313003e-07,H1b4A4a2
261,5.233050682303362,2.2342550780730995e-07,A2a3H2b2
538,-5.192169762803761,2.705956870459381e-07,H1b3A4a3
121,5.24397646734965,3.243873825471573e-07,A1b2A3a2
542,-5.136488711410812,3.5395652664256615e-07,H1b3A4b3
557,5.17989171426818,4.3137593090236505e-07,H1b4A3b2
287,-5.083895912655903,4.7289287031058287e-07,A2a4H2b4
565,5.0151706201934125,7.390855024880704e-07,H1b4A4b2
563,4.981378675655868,7.684625674767875e-07,H1b4A4a4
443,-4.965055209429072,8.546070474184231e-07,H1a3A4a4
169,5.048169070762792,8.649457883185409e-07,A1b4A3a2
209,4.992128238318244,9.11707920310508e-07,A2a1H2a2
567,4.93393532120189,9.861692438541462e-07,H1b4A4b4
382,-4.925633957569753,1.018119660164467e-06,A2b4H2b3
51,-4.849536034195891,1.4168694112224544e-06,A1a3A3a4
145,4.931480430994332,1.5134259791900974e-06,A1b3A3a2
555,4.827313653517087,1.5984162005095457e-06,H1b4A3a4
66,-4.818859361253524,1.6161864060931712e-06,A1a3H2a3
211,-4.848723972691741,1.9410546186032012e-06,A2a1H2a4
554,4.771763499698266,2.202864859913414e-06,H1b4A3a3
115,-4.660914242769119,4.4227552606997815e-06,A1b1H2a4
358,-4.608067102485612,4.699589431386411e-06,A2b3H2b3
570,4.583195380129526,5.08851875194763e-06,H1b4H2a3
265,4.659517881850391,5.42423037670413e-06,A2a4A3a2
45,4.541656191228605,6.4483048961140984e-06,A1a2H2b2
163,-4.547211198584566,6.742817544180416e-06,A1b3H2a4
9,-4.54597718489108,7.240102251153416e-06,A1a1A4a2
13,-4.53920098362152,7.403184292395576e-06,A1a1A4b2
509,-4.508634229424865,8.395282302205546e-06,H1b2A3b2
289,4.518737123235259,8.522079206293968e-06,A2b1A3a2
247,-4.460156203212036,9.624673178574162e-06,A2a3A3b4
447,-4.4167859460918795,1.1668441807829576e-05,H1a3A4b4
463,4.410251797183345,1.1707004470810649e-05,H1a4A3b4
334,-4.409807288729863,1.1715313583695042e-05,A2b2H2b3
238,-4.371224281376288,1.3879356003661648e-05,A2a2H2b3
113,4.374730476416834,1.5350476215709208e-05,A1b1H2a2
215,-4.348120353071155,1.848994176459415e-05,A2a1H2b4
460,4.336814303212203,2.317533640906097e-05,H1a4A3b1
534,-4.254266877872323,2.3673721874629658e-05,H1b3A3b3
217,4.280941578977438,2.7215392134959296e-05,A2a2A3a2
31,-4.2085891916012725,2.8968126155225048e-05,A1a2A3b4
556,4.254800299724157,3.2262433265139434e-05,H1b4A3b1
119,-4.202999056443292,3.31973758304642e-05,A1b1H2b4
512,-4.195939802264796,3.3669823165473406e-05,H1b2A4a1
69,4.16573296463539,3.4955579510752855e-05,A1a3H2b2
337,4.15830912218118,4.507937034027677e-05,A2b3A3a2
313,4.119311620052896,5.218062202128103e-05,A2b2A3a2
187,-4.056151375302271,5.916582654244716e-05,A1b4H2a4
75,-4.018120784983132,6.321187783748504e-05,A1a4A3a4
214,-4.0330617177830295,6.611147030551653e-05,A2a1H2b3
90,-3.991808175088674,6.953500462881909e-05,A1a4H2a3
361,4.033583958950511,7.467074684254053e-05,A2b4A3a2
118,-3.937897248094269,9.572468074484027e-05,A1b1H2b3
286,-3.827131171112114,0.0001390190536708091,A2a4H2b3
59,-3.8298760480996012,0.0001393332943572076,A1a3A4a4
124,3.7862275772915326,0.00020195795716556128,A1b2A3b1
434,-3.7194823622168447,0.00021730261597288734,H1a3A3a3
172,3.6920327948093288,0.0002871919459560115,A1b4A3b1
125,3.6356280622307433,0.0003255983864717546,A1b2A3b2
148,3.639949294493026,0.00034776500851297276,A1b3A3b1
292,3.627139945633541,0.00035868357354445736,A2b1A3b1
126,3.5632633507457867,0.00039399916052721855,A1b2A3b3
525,-3.546374665685542,0.0004153868308181957,H1b2H2b2
167,-3.5517981317609832,0.00041719288548461146,A1b3H2b4
404,-3.565213545825682,0.00041991041321931506,H1a1H2b1
241,3.545943888445279,0.0004771112374142406,A2a3A3a2
268,3.5117234311350005,0.0005523693734421647,A2a4A3b1
73,3.476466449829681,0.0006196489428834651,A1a4A3a2
134,3.390453295274928,0.0007440792450384209,A1b2A4b3
173,3.3914879200846664,0.0007944557221746983,A1b4A3b2
220,3.3823792371826866,0.0008665663237637102,A2a2A3b1
456,3.367754647617792,0.0009140822851481426,H1a4A3a1
63,-3.329957822558532,0.0009176853785543132,A1a3A4b4
340,3.337405766252744,0.0010106821254157676,A2b3A3b1
316,3.334197319206488,0.0010207680097888954,A2b2A3b1
552,3.2896363343894177,0.0011883646644553917,H1b4A3a1
364,3.2887985810731246,0.0011916895341955963,A2b4A3b1
559,3.2482305823461934,0.0012028265587326814,H1b4A3b4
129,3.2482675403691594,0.0012318886296326958,A1b2A4a2
442,-3.2456134851380076,0.0012359787088066906,H1a3A4a3
25,3.262190099837384,0.0012613881159894433,A1a2A3a2
149,3.248068055753916,0.0013053675041275632,A1b3A3b2
174,3.2288927838848647,0.0013192698150189194,A1b4A3b3
453,3.2031526707956592,0.0014191005716444641,H1a3H2b2
139,-3.1896770298071693,0.0015060134862309436,A1b2H2a4
8,-3.1881748446505607,0.0015494666708487307,A1a1A4a1
516,-3.18225143788913,0.0015868431766165687,H1b2A4b1
191,-3.0915629036222865,0.0021212956110061103,A1b4H2b4
258,-3.0783618025994564,0.002150598219020479,A2a3H2a3
244,3.098587651872151,0.0022303953014198804,A2a3A3b1
133,3.0510297288994113,0.0023933818355410695,A1b2A4b2
243,-3.0460642756433507,0.002404604133927316,A2a3A3a4
446,-3.035554236399257,0.002491114773899871,H1a3A4b3
182,3.0326189374753194,0.0025528597131026553,A1b4A4b3
76,3.0561450778622063,0.0025580634349271834,A1a4A3b1
42,-3.0250083536764167,0.002566430326261071,A1a2H2a3
150,3.0165736863857395,0.002668763645860265,A1b3A3b3
28,3.017160359490822,0.0028848821250484274,A1a2A3b1
27,-2.982692785178767,0.002954222896090982,A1a2A3a4
177,2.9454148326441563,0.0033783176630000464,A1b4A4a2
541,-2.9440152902185646,0.0033861583463997034,H1b3A4b2
537,-2.932341206924181,0.0035087338046973227,H1b3A4a2
293,2.935388938422802,0.003516155453826058,A2b1A3b2
367,-2.90445761580895,0.0038147184002132076,A2b4A3b4
83,-2.8999102120785887,0.003883757267909618,A1a4A4a4
49,2.908709035101242,0.004000578248684211,A1a3A3a2
269,2.901118116971434,0.004048887585477382,A2a4A3b2
5,-2.8553382302683037,0.004545046935594411,A1a1A3b2
52,2.863322018314553,0.004649252245103786,A1a3A3b1
199,-2.815183120200722,0.0051621639483910905,A2a1A3b4
120,2.823964302888729,0.005223852496189847,A1b2A3a1
158,2.802484705429202,0.005248516879537522,A1b3A4b3
103,-2.8058387041586177,0.005277041976481214,A1b1A3b4
166,-2.7837990169299247,0.005505868586764078,A1b3H2b3
153,2.7631659506799475,0.005938639489297794,A1b3A4a2
130,2.7461458072663767,0.0062063139925986124,A1b2A4a3
181,2.7487199604893315,0.006207588083807317,A1b4A4b2
196,2.7333948446414644,0.006761125689997165,A2a1A3b1
424,2.721966954239834,0.006803533353343357,H1a2H2a1
50,-2.71362341010359,0.006844278846546814,A1a3A3a3
168,2.727706113298702,0.00695026521979519,A1b4A3a1
307,-2.6713845027071965,0.00786794678484002,A2b1H2a4
288,2.6790385635955394,0.00796291518242353,A2b1A3a1
144,2.674735837701029,0.008105607792300424,A1b3A3a1
436,2.6665399621413584,0.008302900822576141,H1a3A3b1
100,2.633452702133069,0.009011770510960419,A1b1A3b1
157,2.5685151705481464,0.010514351723711516,A1b3A4b2
343,-2.548579704086343,0.011057486650202841,A2b3A3b4
264,2.543544340781953,0.011747937270549015,A2a4A3a1
270,2.5038233172516966,0.012566267380364711,A2a4A3b3
221,2.472546962413686,0.014051406519455304,A2a2A3b2
213,2.441954275741169,0.014962264677373029,A2a1H2b2
190,-2.4378146220769468,0.01503853785639314,A1b4H2b3
216,2.4152187536684426,0.016642774887666096,A2a2A3a1
319,-2.3976104707765873,0.01680322887055151,A2b2A3b4
87,-2.3913542589481387,0.017161772345437202,A1a4A4b4
178,2.3683485103698927,0.01823262770146331,A1b4A4a3
336,2.3702533895518396,0.01874519380299045,A2b3A3a1
297,2.356063439956497,0.018791487065343074,A2b1A4a2
312,2.3684473022837014,0.018828677507680726,A2b2A3a1
433,2.3630175845302723,0.018976892815668955,H1a3A3a2
294,2.3409066408762893,0.01962342051337391,A2b1A3b3
341,2.3302505005829346,0.02055223609468663,A2b3A3b2
273,2.31650825061842,0.020987580212172226,A2a4A4a2
360,2.321291186502114,0.021299113360618634,A2b4A3a1
35,-2.302033419803266,0.02163213495089924,A1a2A4a4
12,-2.304864377804567,0.021740378649423762,A1a1A4b1
317,2.3024618781068154,0.022054306442863582,A2b2A3b2
143,-2.2887810982112287,0.022477245546419646,A1b2H2b4
223,-2.267025933421988,0.023723391885497935,A2a2A3b4
193,2.2483378938458176,0.02507712527312568,A2a1A3a2
278,2.2388899705024525,0.025539455810705883,A2a4A4b3
438,-2.2335591686721976,0.025863592368192447,H1a3A3b3
301,2.223003355443727,0.02658634443650838,A2b1A4b2
114,-2.2201333001526944,0.0270039809619397,A1b1H2a3
532,2.2269296563193275,0.027074201891353677,H1b3A3b1
251,-2.209915529868614,0.02749278270773175,A2a3A4a4
122,2.2093173104869086,0.027505198516694748,A1b2A3a3
58,-2.2005636116899976,0.028158179190674298,A1a3A4a3
99,-2.1775697017337463,0.030071496197962164,A1b1A3a4
365,2.180871992351672,0.03009246577860894,A2b4A3b2
210,-2.1761824703186097,0.030242660551407178,A2a1H2a3
536,-2.139428470931183,0.033150123285288456,H1b3A4a1
154,2.1350262697822133,0.03318876178455431,A1b3A4a3
505,-2.134569366178384,0.03346779590674901,H1b2A3a2
195,-2.130584057202245,0.03387385000183528,A2a1A3a4
135,2.125687645846535,0.03393528684393129,A1b2A4b4
277,2.1237882744335312,0.03425707313382305,A2a4A4b2
240,2.129421417207482,0.034474416304188786,A2a3A3a1
302,2.107603430685344,0.03561261671837606,A2b1A4b3
72,2.084397386818862,0.03844125102145014,A1a4A3a1
500,-2.0730921065217145,0.038912481909316364,H1b1H2b1
117,2.067457275193233,0.039182115104446746,A1b1H2b2
24,2.0516839021242257,0.04151711174803052,A1a2A3a1
311,-2.0341673361883053,0.042609948695946184,A2b1H2b4
131,2.01524216399314,0.04434157319024851,A1b2A4a4
97,1.9894210485607076,0.04724373582016103,A1b1A3a2
39,-1.9765391668708756,0.048495776609795545,A1a2A4b4
107,-1.902612383114282,0.05782824385544106,A1b1A4a4
48,1.8935825538601883,0.059763832160640996,A1a3A3a1
62,-1.8802796294134503,0.06050321361580539,A1a3A4b3
203,-1.8282366298653088,0.0683728696053818,A2a1A4a4
255,-1.8246084060555372,0.06858399324974754,A2a3A4b4
142,-1.8211701608897968,0.06896500671497802,A1b2H2b3
170,1.8104084051983593,0.070782630763965,A1b4A3a3
74,-1.802810176280964,0.0720525831743549,A1a4A3a3
192,1.800858777459955,0.07305518199095538,A2a1A3a1
310,-1.7719376175556965,0.07698307750316953,A2b1H2b3
111,-1.7687418285008532,0.07768552292478187,A1b1A4b4
225,1.7485837280232235,0.08101880103002701,A2a2A4a2
468,1.7431739226814118,0.08232324219148718,H1a4A4b1
222,1.7370181491913474,0.08290431096425557,A2a2A3b3
298,1.7080156489711957,0.08825462501663225,A2b1A4a3
96,1.7091260840322853,0.08875083403263874,A1b1A3a1
183,1.69780770706294,0.09016580424679792,A1b4A4b4
432,1.6973322043291328,0.09122715284384698,H1a3A3a1
207,-1.681403055835051,0.09353926614847446,A2a1A4b4
123,1.6614604788437692,0.09718886318464219,A1b2A3a4
564,1.633276884576336,0.1034187522464143,H1b4A4b1
98,-1.5927978090236339,0.1119237157354917,A1b1A3a3
378,-1.5873072114052786,0.11290682075918368,A2b4H2a3
245,1.5902295753357165,0.11306792954445802,A2a3A3b2
229,1.5805876725597052,0.11466591195440505,A2a2A4b2
26,-1.5736349618911651,0.11603191549307217,A1a2A3a3
146,1.568966762606364,0.11719135694085345,A1b3A3a3
179,1.564706525736705,0.11832154809331351,A1b4A4a4
345,1.561134284969375,0.11916885040450065,A2b3A4a2
271,-1.5409630627223156,0.12381056170148323,A2a4A3b4
274,1.5405248494877377,0.12400699406852721,A2a4A4a3
321,1.530087583385639,0.12663054305030294,A2b2A4a2
138,1.5233984201527773,0.12818507948562874,A1b2H2a3
363,-1.506179107238679,0.13254621097922625,A2b4A3a4
408,-1.5050330994499,0.13389544861225894,H1a2A3a1
342,1.4921956783902224,0.1361872630861638,A2b3A3b3
21,-1.4910317477966941,0.13674508755226986,A1a1H2b2
194,-1.4894503931422045,0.13715743346097192,A2a1A3a3
4,1.4776604712777213,0.14096810548837424,A1a1A3b1
77,1.4687261705323862,0.14332154391995,A1a4A3b2
464,1.4436561987448004,0.14986285076114203,H1a4A4a1
318,1.4410935243389345,0.1500718921287592,A2b2A3b3
159,1.4358357701535942,0.15160697465555867,A1b3A4b4
440,-1.4169027329743002,0.1575103339602102,H1a3A4a1
349,1.399728079074461,0.16227523278280584,A2b3A4b2
230,1.3933143184829602,0.16404365008137967,A2a2A4b3
325,1.3745461707518214,0.16990761618577366,A2b2A4b2
242,-1.3675870383093485,0.17198728813296854,A2a3A3a3
369,1.3626743139737263,0.17365356865762027,A2b4A4a2
540,-1.3438059481589166,0.1799792922251456,H1b3A4b1
445,-1.3286270437416972,0.1846600898101412,H1a3A4b2
106,-1.3217055745692328,0.186969498482544,A1b1A4a3
290,1.3173504221290089,0.1883035617145514,A2b1A3a3
560,1.316638310929305,0.18890297030659894,H1b4A4a1
29,1.3160174254947967,0.18923158184123293,A1a2A3b2
155,1.2872120531212587,0.1985688200618785,A1b3A4a4
441,-1.2625048642718517,0.2074175977292591,H1a3A4a2
528,1.2602534285556393,0.20906319510069007,H1b3A3a1
354,-1.2431061017683587,0.2142446745514188,A2b3H2a3
366,1.2354901909790934,0.21715749894439887,A2b4A3b3
82,-1.2204294329354126,0.2229420508248869,A1a4A4a3
373,1.206988534461182,0.2280738186164083,A2b4A4b2
202,-1.1956618039391655,0.23255725280414896,A2a1A4a3
303,1.1868536320323455,0.23589102906150816,A2b1A4b4
