,Unnamed: 0,Asynchrony,IOI,Max,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Tap Onset,Test,True Onset,User ID
1569,1569,-22.346,0 days 00:00:00.650159000,05/05/18 04:09 PM,05/05/18 04:09 PM,,15.77,-22.346,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1570,1570,-6.5760000000000005,0 days 00:00:00.673378000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-4.559999999999999,-6.5760000000000005,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1571,1571,-11.136,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,38.256,-11.136,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1572,1572,27.12,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-89.76,27.12,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1573,1573,-62.64,0 days 00:00:00.650158000,05/05/18 04:09 PM,05/05/18 04:09 PM,,26.278000000000006,-62.64,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1574,1574,-36.361999999999995,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-77.918,-36.361999999999995,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1575,1575,-114.28,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,20.608999999999995,-114.28,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1576,1576,-513.314,0 days 00:00:00.650159000,05/05/18 04:09 PM,05/05/18 04:09 PM,,69.28500000000001,-93.671,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1577,1577,-743.83,0 days 00:00:00.673378000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-18.052000000000003,-24.386,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1578,1578,-697.7639999999999,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,92.894,-42.438,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1579,1579,-715.817,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-109.304,50.456,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1580,1580,-622.923,0 days 00:00:00.650158000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-15.525999999999996,-58.848,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1581,1581,-709.0060000000001,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,57.997,-74.374,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
1582,1582,-747.753,0 days 00:00:00.673379000,05/05/18 04:09 PM,05/05/18 04:09 PM,,-34.855000000000004,-16.377,-37.9858214285714,42.86117754734121,05/05/18 04:09 PM,05/05/18 04:09 PM,A1a2,05/05/18 04:09 PM,390
