Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response
-25.85,31:23.0,H1a3,31:23.0,127,447.92,31:23.2,31:22.8,31:23.0,-25.85,-43.5865,41.22429539,-43.5865,41.22429539,0,-18.05
-43.9,31:23.4,H1a3,31:23.5,127,431.659,31:23.7,31:23.2,31:23.4,-43.9,-43.5865,41.22429539,-43.5865,41.22429539,0,-5.893
-49.793,31:23.8,H1a3,31:23.9,127,447.877,31:24.1,31:23.7,31:23.8,-49.793,-43.5865,41.22429539,-43.5865,41.22429539,0,35.229
-14.564,31:24.3,H1a3,31:24.3,127,447.853,31:24.6,31:24.1,31:24.3,-14.564,-43.5865,41.22429539,-43.5865,41.22429539,0,-66.932
-81.496,31:24.7,H1a3,31:24.8,127,447.795,31:25.0,31:24.6,31:24.7,-81.496,-43.5865,41.22429539,-43.5865,41.22429539,0,-26.312
-107.808,31:25.1,H1a3,31:25.2,127,431.827,31:25.5,31:25.0,31:25.1,-107.808,-43.5865,41.22429539,-43.5865,41.22429539,0,14.526
-93.282,31:25.6,H1a3,31:25.7,127,447.857,31:25.9,31:25.5,31:25.6,-93.282,-43.5865,41.22429539,-43.5865,41.22429539,0,-13.929
-107.211,31:26.0,H1a3,31:26.1,127,447.803,31:26.3,31:25.9,31:26.0,-107.211,-43.5865,41.22429539,-43.5865,41.22429539,0,27.179
-80.032,31:26.5,H1a3,31:26.6,127,447.776,31:26.8,31:26.3,31:26.5,-80.032,-43.5865,41.22429539,-43.5865,41.22429539,0,43.456
-36.576,31:27.0,H1a3,31:27.0,127,431.811,31:27.2,31:26.8,31:27.0,-36.576,-43.5865,41.22429539,-43.5865,41.22429539,0,18.558
-18.018,31:27.4,H1a3,31:27.4,127,447.866,31:27.7,31:27.2,31:27.4,-18.018,-43.5865,41.22429539,-43.5865,41.22429539,0,-18.073
