Asynchrony,Group,IOI,,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,User ID
106.274,Professional,431.889,Flute,31:21.9,-43.5865,31:21.5,0,-88.097,106.274,-43.5865,41.22429539,31:21.8,41.22429539,31:21.8,H1a3,31:21.7,824
18.177,Professional,447.76,Flute,31:22.3,-43.5865,31:21.9,0,2.527,18.177,-43.5865,41.22429539,31:22.1,41.22429539,31:22.1,H1a3,31:22.1,824
20.704,Professional,447.861,Flute,31:22.8,-43.5865,31:22.3,0,-46.554,20.704,-43.5865,41.22429539,31:22.6,41.22429539,31:22.6,H1a3,31:22.6,824
-25.85,Professional,447.92,Flute,31:23.2,-43.5865,31:22.8,0,-18.05,-25.85,-43.5865,41.22429539,31:23.0,41.22429539,31:23.0,H1a3,31:23.0,824
-43.9,Professional,431.659,Flute,31:23.7,-43.5865,31:23.2,0,-5.893,-43.9,-43.5865,41.22429539,31:23.4,41.22429539,31:23.4,H1a3,31:23.5,824
-49.793,Professional,447.877,Flute,31:24.1,-43.5865,31:23.7,0,35.229,-49.793,-43.5865,41.22429539,31:23.8,41.22429539,31:23.8,H1a3,31:23.9,824
-14.564,Professional,447.853,Flute,31:24.6,-43.5865,31:24.1,0,-66.932,-14.564,-43.5865,41.22429539,31:24.3,41.22429539,31:24.3,H1a3,31:24.3,824
-81.496,Professional,447.795,Flute,31:25.0,-43.5865,31:24.6,0,-26.312,-81.496,-43.5865,41.22429539,31:24.7,41.22429539,31:24.7,H1a3,31:24.8,824
-107.808,Professional,431.827,Flute,31:25.5,-43.5865,31:25.0,0,14.526,-107.808,-43.5865,41.22429539,31:25.1,41.22429539,31:25.1,H1a3,31:25.2,824
-93.282,Professional,447.857,Flute,31:25.9,-43.5865,31:25.5,0,-13.929,-93.282,-43.5865,41.22429539,31:25.6,41.22429539,31:25.6,H1a3,31:25.7,824
