,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
0,-222.452,1327.404,2018-07-21 23:02:11.349280,-258.735,2018-07-21 23:02:10.021876,0,-152.36,-222.452,-258.735,84.12006511258451,2018-07-21 23:02:10.463126,84.12006511258451,2018-07-21 23:02:10.463126,H1a1,2018-07-21 23:02:10.685578,0,1,118.0
1,-374.812,1343.233,2018-07-21 23:02:12.684598,-258.735,2018-07-21 23:02:11.349280,0,106.173,-374.812,-258.735,84.12006511258451,2018-07-21 23:02:11.638170,84.12006511258451,2018-07-21 23:02:11.638170,H1a1,2018-07-21 23:02:12.012982,1,2,118.0
2,-268.639,1327.461,2018-07-21 23:02:14.019946,-258.735,2018-07-21 23:02:12.684598,0,-46.06700000000001,-268.639,-258.735,84.12006511258451,2018-07-21 23:02:13.087576,84.12006511258451,2018-07-21 23:02:13.087576,H1a1,2018-07-21 23:02:13.356215,2,3,118.0
3,-314.706,1327.234,2018-07-21 23:02:15.347293,-258.735,2018-07-21 23:02:14.019946,0,228.78400000000002,-314.706,-258.735,84.12006511258451,2018-07-21 23:02:14.368970,84.12006511258451,2018-07-21 23:02:14.368970,H1a1,2018-07-21 23:02:14.683676,3,4,118.0
4,-85.92200000000003,1343.185,2018-07-21 23:02:16.682502,-258.735,2018-07-21 23:02:15.347293,0,-156.244,-85.92200000000003,-258.735,84.12006511258451,2018-07-21 23:02:15.924988,84.12006511258451,2018-07-21 23:02:15.924988,H1a1,2018-07-21 23:02:16.010910,4,5,118.0
5,-242.166,1327.464,2018-07-21 23:02:18.017827,-258.735,2018-07-21 23:02:16.682502,0,-37.66399999999999,-242.166,-258.735,84.12006511258451,2018-07-21 23:02:17.111929,84.12006511258451,2018-07-21 23:02:17.111929,H1a1,2018-07-21 23:02:17.354095,5,6,118.0
6,-279.83,1327.322,2018-07-21 23:02:19.345220,-258.735,2018-07-21 23:02:18.017827,0,101.588,-279.83,-258.735,84.12006511258451,2018-07-21 23:02:18.401729,84.12006511258451,2018-07-21 23:02:18.401729,H1a1,2018-07-21 23:02:18.681559,6,7,118.0
7,-178.24200000000005,1327.493,2018-07-21 23:02:20.672627,-258.735,2018-07-21 23:02:19.345220,0,-193.267,-178.24200000000005,-258.735,84.12006511258451,2018-07-21 23:02:19.830639,84.12006511258451,2018-07-21 23:02:19.830639,H1a1,2018-07-21 23:02:20.008881,7,8,118.0
8,-371.509,1343.253,2018-07-21 23:02:22.008000,-258.735,2018-07-21 23:02:20.672627,0,179.48100000000005,-371.509,-258.735,84.12006511258451,2018-07-21 23:02:20.964865,84.12006511258451,2018-07-21 23:02:20.964865,H1a1,2018-07-21 23:02:21.336374,8,9,118.0
9,-192.028,1327.289,2018-07-21 23:02:23.343271,-258.735,2018-07-21 23:02:22.008000,0,-139.72100000000003,-192.028,-258.735,84.12006511258451,2018-07-21 23:02:22.487599,84.12006511258451,2018-07-21 23:02:22.487599,H1a1,2018-07-21 23:02:22.679627,9,10,118.0
