,Asynchrony,Tap Onset,Test,True Onset,User ID,Sanitized Tap Onset,Sanitized Asynchrony
39,15.635634000000001,2018-04-27 14:37:03.365661,P3H1b3,2018-04-27 14:36:47.730027,423,2018-04-27 14:37:02.015323,14.285296
40,16.541811000000003,2018-04-27 14:37:04.703523,P3H1b3,2018-04-27 14:36:48.161712,423,2018-04-27 14:37:03.365661,15.203949000000001
41,17.359012,2018-04-27 14:37:05.968950,P3H1b3,2018-04-27 14:36:48.609938,423,2018-04-27 14:37:04.703523,16.093585
42,18.234912,2018-04-27 14:37:07.292214,P3H1b3,2018-04-27 14:36:49.057302,423,2018-04-27 14:37:05.968950,16.911648
43,19.149308,2018-04-27 14:37:08.654678,P3H1b3,2018-04-27 14:36:49.505370,423,2018-04-27 14:37:07.292214,17.786844000000002
44,20.049808000000002,2018-04-27 14:37:09.987015,P3H1b3,2018-04-27 14:36:49.937207,423,2018-04-27 14:37:08.654678,18.717471
45,15.969092000000002,2018-04-27 14:37:11.322044,P4A1a1,2018-04-27 14:36:55.352952,423,2018-04-27 14:37:09.987015,14.634063000000001
46,15.916617,2018-04-27 14:37:12.593107,P4A1a1,2018-04-27 14:36:56.676490,423,2018-04-27 14:37:11.322044,14.645554
47,16.007882000000002,2018-04-27 14:37:14.031129,P4A1a1,2018-04-27 14:36:58.023247,423,2018-04-27 14:37:12.593107,14.56986
48,20.608526,2018-04-27 14:37:19.955311,P4A1a1,2018-04-27 14:36:59.346785,423,2018-04-27 14:37:14.031129,14.684344000000001
49,20.415974000000002,2018-04-27 14:37:21.109516,P4A1a1,2018-04-27 14:37:00.693542,423,2018-04-27 14:37:19.955311,19.261769
50,20.295357000000003,2018-04-27 14:37:22.312436,P4A1a1,2018-04-27 14:37:02.017079,423,2018-04-27 14:37:21.109516,19.092437
51,20.250263,2018-04-27 14:37:23.614100,P4A1a1,2018-04-27 14:37:03.363837,423,2018-04-27 14:37:22.312436,18.948599
52,20.262115,2018-04-27 14:37:24.949489,P4A1a1,2018-04-27 14:37:04.687374,423,2018-04-27 14:37:23.614100,18.926726000000002
53,20.294751,2018-04-27 14:37:26.305663,P4A1a1,2018-04-27 14:37:06.010912,423,2018-04-27 14:37:24.949489,18.938577000000002
54,20.218013000000003,2018-04-27 14:37:27.575682,P4A1a1,2018-04-27 14:37:07.357669,423,2018-04-27 14:37:26.305663,18.947994
55,20.348055000000002,2018-04-27 14:37:29.029261,P4A1a1,2018-04-27 14:37:08.681206,423,2018-04-27 14:37:27.575682,18.894476
56,20.270394,2018-04-27 14:37:30.298358,P4A1a1,2018-04-27 14:37:10.027964,423,2018-04-27 14:37:29.029261,19.001297
57,20.243983,2018-04-27 14:37:31.595484,P4A1a1,2018-04-27 14:37:11.351501,423,2018-04-27 14:37:30.298358,18.946857
58,20.269542,2018-04-27 14:37:32.967800,P4A1a1,2018-04-27 14:37:12.698258,423,2018-04-27 14:37:31.595484,18.897226
59,20.335575000000002,2018-04-27 14:37:34.357371,P4A1a1,2018-04-27 14:37:14.021796,423,2018-04-27 14:37:32.967800,18.946004000000002
60,16.081892,2018-04-27 14:37:35.721358,P5A1b1,2018-04-27 14:37:19.639466,423,2018-04-27 14:37:34.357371,14.717905000000002
61,16.014068,2018-04-27 14:37:37.000292,P5A1b1,2018-04-27 14:37:20.986224,423,2018-04-27 14:37:35.721358,14.735134
62,16.004927000000002,2018-04-27 14:37:38.314688,P5A1b1,2018-04-27 14:37:22.309761,423,2018-04-27 14:37:37.000292,14.690531000000002
63,16.045863,2018-04-27 14:37:39.702382,P5A1b1,2018-04-27 14:37:23.656519,423,2018-04-27 14:37:38.314688,14.658169000000001
64,15.912102,2018-04-27 14:37:40.892158,P5A1b1,2018-04-27 14:37:24.980056,423,2018-04-27 14:37:39.702382,14.722326
65,15.993200000000002,2018-04-27 14:37:42.296793,P5A1b1,2018-04-27 14:37:26.303593,423,2018-04-27 14:37:40.892158,14.588565000000001
66,16.027713000000002,2018-04-27 14:37:43.678064,P5A1b1,2018-04-27 14:37:27.650351,423,2018-04-27 14:37:42.296793,14.646442
67,16.068467000000002,2018-04-27 14:37:45.042355,P5A1b1,2018-04-27 14:37:28.973888,423,2018-04-27 14:37:43.678064,14.704176
68,16.058484,2018-04-27 14:37:46.379130,P5A1b1,2018-04-27 14:37:30.320646,423,2018-04-27 14:37:45.042355,14.721709
69,16.079808,2018-04-27 14:37:47.723991,P5A1b1,2018-04-27 14:37:31.644183,423,2018-04-27 14:37:46.379130,14.734947000000002
70,15.987050000000002,2018-04-27 14:37:48.977990,P5A1b1,2018-04-27 14:37:32.990940,423,2018-04-27 14:37:47.723991,14.733051000000001
71,16.002273000000002,2018-04-27 14:37:50.316751,P5A1b1,2018-04-27 14:37:34.314478,423,2018-04-27 14:37:48.977990,14.663512
72,21.435788000000002,2018-04-27 14:37:57.073803,P5A1b1,2018-04-27 14:37:35.638015,423,2018-04-27 14:37:50.316751,14.678736
73,21.379927000000002,2018-04-27 14:37:58.364699,P5A1b1,2018-04-27 14:37:36.984772,423,2018-04-27 14:37:57.073803,20.089031000000002
74,21.463405,2018-04-27 14:37:59.771715,P5A1b1,2018-04-27 14:37:38.308310,423,2018-04-27 14:37:58.364699,20.056389000000003
75,21.420196,2018-04-27 14:38:01.075263,P5A1b1,2018-04-27 14:37:39.655067,423,2018-04-27 14:37:59.771715,20.116648
76,21.364106,2018-04-27 14:38:02.342711,P5A1b1,2018-04-27 14:37:40.978605,423,2018-04-27 14:38:01.075263,20.096658
77,21.39385,2018-04-27 14:38:03.695992,P5A1b1,2018-04-27 14:37:42.302142,423,2018-04-27 14:38:02.342711,20.040569
78,21.30908,2018-04-27 14:38:04.957979,P5A1b1,2018-04-27 14:37:43.648899,423,2018-04-27 14:38:03.695992,20.047093
79,21.329784,2018-04-27 14:38:06.302221,P5A1b1,2018-04-27 14:37:44.972437,423,2018-04-27 14:38:04.957979,19.985542000000002
80,21.275242000000002,2018-04-27 14:38:07.594436,P5A1b1,2018-04-27 14:37:46.319194,423,2018-04-27 14:38:06.302221,19.983027
81,21.366671,2018-04-27 14:38:09.009403,P5A1b1,2018-04-27 14:37:47.642732,423,2018-04-27 14:38:07.594436,19.951704000000003
82,21.374029,2018-04-27 14:38:10.363518,P5A1b1,2018-04-27 14:37:48.989489,423,2018-04-27 14:38:09.009403,20.019914
83,15.995754000000002,2018-04-27 14:38:11.671266,P6A2a1,2018-04-27 14:37:55.675512,423,2018-04-27 14:38:10.363518,14.688006000000001
84,16.04822,2018-04-27 14:38:13.070490,P6A2a1,2018-04-27 14:37:57.022270,423,2018-04-27 14:38:11.671266,14.648996
85,16.001603,2018-04-27 14:38:14.347410,P6A2a1,2018-04-27 14:37:58.345807,423,2018-04-27 14:38:13.070490,14.724683
86,16.050574,2018-04-27 14:38:15.719919,P6A2a1,2018-04-27 14:37:59.669345,423,2018-04-27 14:38:14.347410,14.678065
87,15.932811000000001,2018-04-27 14:38:16.948913,P6A2a1,2018-04-27 14:38:01.016102,423,2018-04-27 14:38:15.719919,14.703817
88,15.929268,2018-04-27 14:38:18.268907,P6A2a1,2018-04-27 14:38:02.339639,423,2018-04-27 14:38:16.948913,14.609274000000001
89,15.902322000000002,2018-04-27 14:38:19.588719,P6A2a1,2018-04-27 14:38:03.686397,423,2018-04-27 14:38:18.268907,14.582510000000001
90,15.988068,2018-04-27 14:38:20.998002,P6A2a1,2018-04-27 14:38:05.009934,423,2018-04-27 14:38:19.588719,14.578785000000002
91,15.991009000000002,2018-04-27 14:38:22.347701,P6A2a1,2018-04-27 14:38:06.356692,423,2018-04-27 14:38:20.998002,14.64131
92,29.684301,2018-04-27 14:38:37.364530,P6A2a1,2018-04-27 14:38:07.680229,423,2018-04-27 14:38:22.347701,14.667472
93,29.093497000000003,2018-04-27 14:38:38.097263,P6A2a1,2018-04-27 14:38:09.003766,423,2018-04-27 14:38:37.364530,28.360764000000003
94,28.188802000000003,2018-04-27 14:38:38.539326,P6A2a1,2018-04-27 14:38:10.350524,423,2018-04-27 14:38:38.097263,27.746739
95,27.430111,2018-04-27 14:38:39.104172,P6A2a1,2018-04-27 14:38:11.674061,423,2018-04-27 14:38:38.539326,26.865265
96,26.636071,2018-04-27 14:38:39.656889,P6A2a1,2018-04-27 14:38:13.020818,423,2018-04-27 14:38:39.104172,26.083354
97,25.889767000000003,2018-04-27 14:38:40.234123,P6A2a1,2018-04-27 14:38:14.344356,423,2018-04-27 14:38:39.656889,25.312533000000002
98,25.169643,2018-04-27 14:38:40.860756,P6A2a1,2018-04-27 14:38:15.691113,423,2018-04-27 14:38:40.234123,24.543010000000002
99,24.419265000000003,2018-04-27 14:38:41.433916,P6A2a1,2018-04-27 14:38:17.014651,423,2018-04-27 14:38:40.860756,23.846105
100,23.812055,2018-04-27 14:38:42.150243,P6A2a1,2018-04-27 14:38:18.338188,423,2018-04-27 14:38:41.433916,23.095728
101,23.116197000000003,2018-04-27 14:38:42.801142,P6A2a1,2018-04-27 14:38:19.684945,423,2018-04-27 14:38:42.150243,22.465298
102,22.398597000000002,2018-04-27 14:38:43.407080,P6A2a1,2018-04-27 14:38:21.008483,423,2018-04-27 14:38:42.801142,21.792659
103,21.637269,2018-04-27 14:38:43.992509,P6A2a1,2018-04-27 14:38:22.355240,423,2018-04-27 14:38:43.407080,21.051840000000002
104,8.01594,2018-04-27 14:38:44.618848,H2b4,2018-04-27 14:38:36.602908,423,2018-04-27 14:38:43.992509,7.389601000000001
105,8.281651,2018-04-27 14:38:45.220591,H2b4,2018-04-27 14:38:36.938940,423,2018-04-27 14:38:44.618848,7.679908
106,8.617253,2018-04-27 14:38:45.875682,H2b4,2018-04-27 14:38:37.258429,423,2018-04-27 14:38:45.220591,7.962162
107,8.829814,2018-04-27 14:38:46.424211,H2b4,2018-04-27 14:38:37.594397,423,2018-04-27 14:38:45.875682,8.281285
108,9.099652,2018-04-27 14:38:47.013856,H2b4,2018-04-27 14:38:37.914204,423,2018-04-27 14:38:46.424211,8.510007
109,9.382021,2018-04-27 14:38:47.632075,H2b4,2018-04-27 14:38:38.250054,423,2018-04-27 14:38:47.013856,8.763802
110,9.565835,2018-04-27 14:38:48.135583,H2b4,2018-04-27 14:38:38.569748,423,2018-04-27 14:38:47.632075,9.062327
111,9.905207,2018-04-27 14:38:48.794769,H2b4,2018-04-27 14:38:38.889562,423,2018-04-27 14:38:48.135583,9.246021
112,10.129566,2018-04-27 14:38:49.339308,H2b4,2018-04-27 14:38:39.209742,423,2018-04-27 14:38:48.794769,9.585027
113,10.354263000000001,2018-04-27 14:38:49.883604,H2b4,2018-04-27 14:38:39.529341,423,2018-04-27 14:38:49.339308,9.809967
114,10.525893,2018-04-27 14:38:50.375143,H2b4,2018-04-27 14:38:39.849250,423,2018-04-27 14:38:49.883604,10.034354
115,10.709191,2018-04-27 14:38:50.862397,H2b4,2018-04-27 14:38:40.153206,423,2018-04-27 14:38:50.375143,10.221937
116,10.999386000000001,2018-04-27 14:38:51.472366,H2b4,2018-04-27 14:38:40.472980,423,2018-04-27 14:38:50.862397,10.389417
117,11.256423,2018-04-27 14:38:52.049477,H2b4,2018-04-27 14:38:40.793054,423,2018-04-27 14:38:51.472366,10.679312000000001
118,16.601261,2018-04-27 14:38:57.697840,H2b4,2018-04-27 14:38:41.096579,423,2018-04-27 14:38:52.049477,10.952898000000001
119,16.672686000000002,2018-04-27 14:38:58.089054,H2b4,2018-04-27 14:38:41.416368,423,2018-04-27 14:38:57.697840,16.281472
120,16.805477,2018-04-27 14:38:58.525730,H2b4,2018-04-27 14:38:41.720253,423,2018-04-27 14:38:58.089054,16.368801
121,17.008686,2018-04-27 14:38:59.048765,H2b4,2018-04-27 14:38:42.040079,423,2018-04-27 14:38:58.525730,16.485651
122,17.14713,2018-04-27 14:38:59.506762,H2b4,2018-04-27 14:38:42.359632,423,2018-04-27 14:38:59.048765,16.689133
123,17.406466,2018-04-27 14:39:00.086172,H2b4,2018-04-27 14:38:42.679706,423,2018-04-27 14:38:59.506762,16.827056000000002
124,17.551496,2018-04-27 14:39:00.551109,H2b4,2018-04-27 14:38:42.999613,423,2018-04-27 14:39:00.086172,17.086559
125,17.703119,2018-04-27 14:39:01.022417,H2b4,2018-04-27 14:38:43.319298,423,2018-04-27 14:39:00.551109,17.231811
126,17.890173,2018-04-27 14:39:01.529135,H2b4,2018-04-27 14:38:43.638962,423,2018-04-27 14:39:01.022417,17.383455
127,17.947575,2018-04-27 14:39:01.906373,H2b4,2018-04-27 14:38:43.958798,423,2018-04-27 14:39:01.529135,17.570337000000002
128,18.032742000000002,2018-04-27 14:39:02.327427,H2b4,2018-04-27 14:38:44.294685,423,2018-04-27 14:39:01.906373,17.611688
129,18.169313000000002,2018-04-27 14:39:02.783800,H2b4,2018-04-27 14:38:44.614487,423,2018-04-27 14:39:02.327427,17.71294
130,18.350589,2018-04-27 14:39:03.300865,H2b4,2018-04-27 14:38:44.950276,423,2018-04-27 14:39:02.783800,17.833524
131,18.489669000000003,2018-04-27 14:39:03.776320,H2b4,2018-04-27 14:38:45.286651,423,2018-04-27 14:39:03.300865,18.014214000000003
132,18.649382000000003,2018-04-27 14:39:04.255298,H2b4,2018-04-27 14:38:45.605916,423,2018-04-27 14:39:03.776320,18.170404
133,18.821139000000002,2018-04-27 14:39:04.746904,H2b4,2018-04-27 14:38:45.925765,423,2018-04-27 14:39:04.255298,18.329533
134,18.869425,2018-04-27 14:39:05.130984,H2b4,2018-04-27 14:38:46.261559,423,2018-04-27 14:39:04.746904,18.485345000000002
135,18.975052,2018-04-27 14:39:05.556443,H2b4,2018-04-27 14:38:46.581391,423,2018-04-27 14:39:05.130984,18.549593
136,19.046095,2018-04-27 14:39:05.947467,H2b4,2018-04-27 14:38:46.901372,423,2018-04-27 14:39:05.556443,18.655071
137,24.647417,2018-04-27 14:39:11.868503,H2b4,2018-04-27 14:38:47.221086,423,2018-04-27 14:39:05.947467,18.726381
138,25.747309,2018-04-27 14:39:13.272542,H2b4,2018-04-27 14:38:47.525233,423,2018-04-27 14:39:11.868503,24.34327
139,26.103430000000003,2018-04-27 14:39:13.948230,H2b4,2018-04-27 14:38:47.844800,423,2018-04-27 14:39:13.272542,25.427742000000002
140,26.512341000000003,2018-04-27 14:39:14.676924,H2b4,2018-04-27 14:38:48.164583,423,2018-04-27 14:39:13.948230,25.783647000000002
141,26.417080000000002,2018-04-27 14:39:14.885544,H2b4,2018-04-27 14:38:48.468464,423,2018-04-27 14:39:14.676924,26.208460000000002
142,26.343002000000002,2018-04-27 14:39:15.131347,H2b4,2018-04-27 14:38:48.788345,423,2018-04-27 14:39:14.885544,26.097199000000003
143,26.825686,2018-04-27 14:39:15.933816,H2b4,2018-04-27 14:38:49.108130,423,2018-04-27 14:39:15.131347,26.023217000000002
144,26.742519,2018-04-27 14:39:16.154707,H2b4,2018-04-27 14:38:49.412188,423,2018-04-27 14:39:15.933816,26.521628000000003
145,26.611266,2018-04-27 14:39:16.343110,H2b4,2018-04-27 14:38:49.731844,423,2018-04-27 14:39:16.154707,26.422863000000003
146,27.142776,2018-04-27 14:39:17.194586,H2b4,2018-04-27 14:38:50.051810,423,2018-04-27 14:39:16.343110,26.291300000000003
147,27.200210000000002,2018-04-27 14:39:17.587770,H2b4,2018-04-27 14:38:50.387560,423,2018-04-27 14:39:17.194586,26.807026
148,27.854621,2018-04-27 14:39:18.562097,H2b4,2018-04-27 14:38:50.707476,423,2018-04-27 14:39:17.587770,26.880294000000003
149,27.936018,2018-04-27 14:39:18.963186,H2b4,2018-04-27 14:38:51.027168,423,2018-04-27 14:39:18.562097,27.534929
150,28.566263000000003,2018-04-27 14:39:19.929468,H2b4,2018-04-27 14:38:51.363205,423,2018-04-27 14:39:18.963186,27.599981000000003
