,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
0,-195.644,1327.2620000000004,2018-07-21 22:43:35.929221,-1150.804181818182,2018-07-21 22:43:34.593927,0,-62.15600000000001,-195.644,-303.30809090909094,148.68618096881403,2018-07-21 22:43:35.069946,708.4123647071413,2018-07-21 22:43:35.069946,H1a1,2018-07-21 22:43:35.265590,0,1,115.0
1,-257.8,1327.5320000000004,2018-07-21 22:43:37.256618,-1150.804181818182,2018-07-21 22:43:35.929221,0,35.80600000000001,-257.8,-303.30809090909094,148.68618096881403,2018-07-21 22:43:36.335052,708.4123647071413,2018-07-21 22:43:36.335052,H1a1,2018-07-21 22:43:36.592852,1,2,115.0
2,-221.99400000000003,1327.23,2018-07-21 22:43:38.583999,-1150.804181818182,2018-07-21 22:43:37.256618,0,-205.354,-221.99400000000003,-303.30809090909094,148.68618096881403,2018-07-21 22:43:37.698390,708.4123647071413,2018-07-21 22:43:37.698390,H1a1,2018-07-21 22:43:37.920384,2,3,115.0
3,-427.348,1343.369,2018-07-21 22:43:39.919298,-1150.804181818182,2018-07-21 22:43:38.583999,0,109.87400000000002,-427.348,-303.30809090909094,148.68618096881403,2018-07-21 22:43:38.820266,708.4123647071413,2018-07-21 22:43:38.820266,H1a1,2018-07-21 22:43:39.247614,3,4,115.0
4,-1684.879,1327.312,2018-07-21 22:43:41.254639,-1150.804181818182,2018-07-21 22:43:39.919298,0,23.75799999999998,-317.474,-303.30809090909094,148.68618096881403,2018-07-21 22:43:40.273509,708.4123647071413,2018-07-21 22:43:38.906104,H1a1,2018-07-21 22:43:40.590983,4,5,115.0
5,-1644.786,1327.525,2018-07-21 22:43:42.582058,-1150.804181818182,2018-07-21 22:43:41.254639,0,113.655,-293.716,-303.30809090909094,148.68618096881403,2018-07-21 22:43:41.624579,708.4123647071413,2018-07-21 22:43:40.273509,H1a1,2018-07-21 22:43:41.918295,5,6,115.0
6,-1621.241,1343.2579999999996,2018-07-21 22:43:43.917449,-1150.804181818182,2018-07-21 22:43:42.582058,0,-176.23799999999997,-180.06099999999995,-303.30809090909094,148.68618096881403,2018-07-21 22:43:43.065759,708.4123647071413,2018-07-21 22:43:41.624579,H1a1,2018-07-21 22:43:43.245820,6,7,115.0
7,-1523.319,1327.1760000000004,2018-07-21 22:43:45.252666,-1150.804181818182,2018-07-21 22:43:43.917449,0,-287.49700000000007,-356.2990000000001,-303.30809090909094,148.68618096881403,2018-07-21 22:43:44.232779,708.4123647071413,2018-07-21 22:43:43.065759,H1a1,2018-07-21 22:43:44.589078,7,8,115.0
8,-1683.475,1327.5179999999998,2018-07-21 22:43:46.580013,-1150.804181818182,2018-07-21 22:43:45.252666,0,559.937,-643.7959999999998,-303.30809090909094,148.68618096881403,2018-07-21 22:43:45.272458,708.4123647071413,2018-07-21 22:43:44.232779,H1a1,2018-07-21 22:43:45.916254,8,9,115.0
9,-1971.314,1343.187,2018-07-21 22:43:47.915365,-1150.804181818182,2018-07-21 22:43:46.580013,0,-274.53900000000004,-83.859,-303.30809090909094,148.68618096881403,2018-07-21 22:43:47.159913,708.4123647071413,2018-07-21 22:43:45.272458,H1a1,2018-07-21 22:43:47.243772,9,10,115.0
10,-1427.046,1327.4260000000004,2018-07-21 22:43:49.250672,-1150.804181818182,2018-07-21 22:43:47.915365,0,,-358.398,-303.30809090909094,148.68618096881403,2018-07-21 22:43:48.228561,708.4123647071413,2018-07-21 22:43:47.159913,H1a1,2018-07-21 22:43:48.586959,10,11,115.0
11,53.967,671.596,2018-07-21 22:44:57.672941,256.6459130434784,2018-07-21 22:44:57.001394,1,-258.065,53.967,-150.4755909090909,73.32857792784415,2018-07-21 22:44:57.391110,314.767580809153,2018-07-21 22:44:57.391110,H1a2,2018-07-21 22:44:57.337143,11,1,115.0
12,-204.098,655.75,2018-07-21 22:44:58.336614,256.6459130434784,2018-07-21 22:44:57.672941,1,40.379000000000026,-204.098,-150.4755909090909,73.32857792784415,2018-07-21 22:44:57.804641,314.767580809153,2018-07-21 22:44:57.804641,H1a2,2018-07-21 22:44:58.008739,12,2,115.0
13,-163.719,671.6289999999998,2018-07-21 22:44:59.000304,256.6459130434784,2018-07-21 22:44:58.336614,1,49.145,-163.719,-150.4755909090909,73.32857792784415,2018-07-21 22:44:58.500770,314.767580809153,2018-07-21 22:44:58.500770,H1a2,2018-07-21 22:44:58.664489,13,3,115.0
14,-114.574,655.6560000000002,2018-07-21 22:44:59.663946,256.6459130434784,2018-07-21 22:44:59.000304,1,23.783,-114.574,-150.4755909090909,73.32857792784415,2018-07-21 22:44:59.221544,314.767580809153,2018-07-21 22:44:59.221544,H1a2,2018-07-21 22:44:59.336118,14,4,115.0
15,-90.791,671.673,2018-07-21 22:45:00.327611,256.6459130434784,2018-07-21 22:44:59.663946,1,-16.63600000000001,-90.791,-150.4755909090909,73.32857792784415,2018-07-21 22:44:59.900983,314.767580809153,2018-07-21 22:44:59.900983,H1a2,2018-07-21 22:44:59.991774,15,5,115.0
16,-107.427,671.8839999999999,2018-07-21 22:45:00.999389,256.6459130434784,2018-07-21 22:45:00.327611,1,-106.872,-107.427,-150.4755909090909,73.32857792784415,2018-07-21 22:45:00.556020,314.767580809153,2018-07-21 22:45:00.556020,H1a2,2018-07-21 22:45:00.663447,16,6,115.0
17,-214.299,655.492,2018-07-21 22:45:01.663077,256.6459130434784,2018-07-21 22:45:00.999389,1,73.27100000000002,-214.299,-150.4755909090909,73.32857792784415,2018-07-21 22:45:01.121032,314.767580809153,2018-07-21 22:45:01.121032,H1a2,2018-07-21 22:45:01.335331,17,7,115.0
18,-141.028,671.81,2018-07-21 22:45:02.326728,256.6459130434784,2018-07-21 22:45:01.663077,1,52.85799999999999,-141.028,-150.4755909090909,73.32857792784415,2018-07-21 22:45:01.849795,314.767580809153,2018-07-21 22:45:01.849795,H1a2,2018-07-21 22:45:01.990823,18,8,115.0
19,-88.17,655.538,2018-07-21 22:45:02.990402,256.6459130434784,2018-07-21 22:45:02.326728,1,,-88.17,-150.4755909090909,73.32857792784415,2018-07-21 22:45:02.574463,314.767580809153,2018-07-21 22:45:02.574463,H1a2,2018-07-21 22:45:02.662633,19,9,115.0
20,488.777,671.705,2018-07-21 22:45:03.654024,256.6459130434784,2018-07-21 22:45:02.990402,1,,,-150.4755909090909,73.32857792784415,,314.767580809153,2018-07-21 22:45:03.806948,H1a2,2018-07-21 22:45:03.318171,20,10,115.0
21,476.112,671.678,2018-07-21 22:45:04.325715,256.6459130434784,2018-07-21 22:45:03.654024,1,-12.638000000000005,-182.928,-150.4755909090909,73.32857792784415,2018-07-21 22:45:03.806948,314.767580809153,2018-07-21 22:45:04.465988,H1a2,2018-07-21 22:45:03.989876,21,11,115.0
