,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Group,Instrument
29,17,964.218,22:24.3,A1a2,22:23.3,552,0 days 00:00:00.673378000,22:23.7,22:23.0,22:23.4,34.346,34.26864286,59.57794047,709.28925,73.60569218,0,256.494,Professional,Percussion
30,18,668.477,22:24.7,A1a2,22:24.0,552,0 days 00:00:00.673379000,22:24.4,22:23.7,22:24.3,290.84,34.26864286,59.57794047,709.28925,73.60569218,0,-295.742,Professional,Percussion
31,19,708.356,22:25.4,A1a2,22:24.7,552,0 days 00:00:00.673379000,22:25.0,22:24.4,22:24.7,-4.902,34.26864286,59.57794047,709.28925,73.60569218,0,39.879,Professional,Percussion
32,20,680.17,22:26.0,A1a2,22:25.4,552,0 days 00:00:00.650158000,22:25.7,22:25.0,22:25.4,34.977,34.26864286,59.57794047,709.28925,73.60569218,0,-4.965,Professional,Percussion
33,21,682.588,22:26.7,A1a2,22:26.0,552,0 days 00:00:00.673379000,22:26.4,22:25.7,22:26.0,30.012,34.26864286,59.57794047,709.28925,73.60569218,0,-20.803,Professional,Percussion
34,22,760.754,22:27.5,A1a2,22:26.7,552,0 days 00:00:00.673379000,22:27.0,22:26.4,22:26.7,9.209,34.26864286,59.57794047,709.28925,73.60569218,0,78.166,Professional,Percussion
35,23,645.245,22:28.0,A1a2,22:27.4,552,0 days 00:00:00.650158000,22:27.7,22:27.0,22:27.5,87.375,34.26864286,59.57794047,709.28925,73.60569218,0,-92.288,Professional,Percussion
36,24,686.419,22:28.7,A1a2,22:28.0,552,0 days 00:00:00.673379000,22:28.4,22:27.7,22:28.0,-4.913,34.26864286,59.57794047,709.28925,73.60569218,0,17.953,Professional,Percussion
37,25,661.242,22:29.3,A1a2,22:28.7,552,0 days 00:00:00.673379000,22:29.0,22:28.4,22:28.7,13.04,34.26864286,59.57794047,709.28925,73.60569218,0,-25.177,Professional,Percussion
38,26,668.436,22:30.0,A1a2,22:29.4,552,0 days 00:00:00.673378000,22:29.7,22:29.0,22:29.3,-12.137,34.26864286,59.57794047,709.28925,73.60569218,0,7.195,Professional,Percussion
