,Unnamed: 0,Asynchrony,Tap Onset,Test,True Onset,User ID,IOI,Max,Min,Sanitized Tap Onset,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Mean Asynchrony,Std Dev Asynchrony,Missed Taps,Phase Correction Response,Group,Instrument
400,6,643.811,19:23.0,A3a2,19:22.4,552,0 days 00:00:00.743039000,19:22.7,19:22.1,19:22.4,25.173,-16.27641667,89.25119788,646.75675,46.81925165,0,-124.401,Professional,Percussion
401,7,634.51,19:23.7,A3a2,19:23.1,552,0 days 00:00:00.673379000,19:23.4,19:22.7,19:23.0,-99.228,-16.27641667,89.25119788,646.75675,46.81925165,0,60.359,Professional,Percussion
402,8,656.191,19:24.4,A3a2,19:23.8,552,0 days 00:00:00.580498000,19:24.1,19:23.4,19:23.7,-38.869,-16.27641667,89.25119788,646.75675,46.81925165,0,114.562,Professional,Percussion
403,9,621.382,19:25.0,A3a2,19:24.4,552,0 days 00:00:00.719819000,19:24.7,19:24.1,19:24.4,75.693,-16.27641667,89.25119788,646.75675,46.81925165,0,-174.13,Professional,Percussion
404,10,693.769,19:25.8,A3a2,19:25.1,552,0 days 00:00:00.766259000,19:25.5,19:24.7,19:25.0,-98.437,-16.27641667,89.25119788,646.75675,46.81925165,0,25.947,Professional,Percussion
405,11,714.238,19:26.6,A3a2,19:25.8,552,0 days 00:00:00.626938000,19:26.2,19:25.5,19:25.8,-72.49,-16.27641667,89.25119788,646.75675,46.81925165,0,159.79,Professional,Percussion
406,12,638.225,19:27.1,A3a2,19:26.5,552,0 days 00:00:00.580499000,19:26.8,19:26.2,19:26.6,87.3,-16.27641667,89.25119788,646.75675,46.81925165,0,,Professional,Percussion
407,1,1238.906,13:21.3,A3a3,13:20.1,552,0 days 00:00:00.394740000,13:20.3,13:19.9,,,18.17310526,49.69329356,1376.1515,114.4399009,2,,Professional,Percussion
408,2,1251.209,13:21.7,A3a3,13:20.5,552,0 days 00:00:00.417959000,13:20.7,13:20.3,,,18.17310526,49.69329356,1376.1515,114.4399009,2,,Professional,Percussion
409,3,1308.72,13:22.2,A3a3,13:20.9,552,0 days 00:00:00.417959000,13:21.1,13:20.7,13:20.9,20.96,18.17310526,49.69329356,1376.1515,114.4399009,2,-12.712,Professional,Percussion
410,4,1439.038,13:22.7,A3a3,13:21.3,552,0 days 00:00:00.441179000,13:21.5,13:21.1,13:21.3,8.248,18.17310526,49.69329356,1376.1515,114.4399009,2,-34.136,Professional,Percussion
411,5,1535.484,13:23.3,A3a3,13:21.7,552,0 days 00:00:00.487619000,13:22.0,13:21.5,13:21.7,-25.888,18.17310526,49.69329356,1376.1515,114.4399009,2,-12.149,Professional,Percussion
412,6,1503.242,13:23.7,A3a3,13:22.2,552,0 days 00:00:00.487619000,13:22.5,13:22.0,13:22.2,-38.037,18.17310526,49.69329356,1376.1515,114.4399009,2,60.658,Professional,Percussion
413,7,1429.146,13:24.1,A3a3,13:22.7,552,0 days 00:00:00.510839000,13:23.0,13:22.5,13:22.7,22.621,18.17310526,49.69329356,1376.1515,114.4399009,2,26.786,Professional,Percussion
414,8,1401.449,13:24.6,A3a3,13:23.2,552,0 days 00:00:00.464399000,13:23.5,13:23.0,13:23.3,49.407,18.17310526,49.69329356,1376.1515,114.4399009,2,-9.022,Professional,Percussion
415,9,1382.914,13:25.1,A3a3,13:23.7,552,0 days 00:00:00.487619000,13:23.9,13:23.5,13:23.7,40.385,18.17310526,49.69329356,1376.1515,114.4399009,2,-74.096,Professional,Percussion
416,10,1272.812,13:25.5,A3a3,13:24.2,552,0 days 00:00:00.441179000,13:24.4,13:23.9,13:24.1,-33.711,18.17310526,49.69329356,1376.1515,114.4399009,2,41.963,Professional,Percussion
417,11,1318.521,13:25.9,A3a3,13:24.6,552,0 days 00:00:00.417960000,13:24.8,13:24.4,13:24.6,8.252,18.17310526,49.69329356,1376.1515,114.4399009,2,27.904,Professional,Percussion
418,12,1610.264,13:26.6,A3a3,13:25.0,552,0 days 00:00:00.464399000,13:25.3,13:24.8,13:25.1,36.156,18.17310526,49.69329356,1376.1515,114.4399009,2,-86.882,Professional,Percussion
419,13,1492.273,13:27.0,A3a3,13:25.5,552,0 days 00:00:00.464399000,13:25.7,13:25.3,13:25.5,-50.726,18.17310526,49.69329356,1376.1515,114.4399009,2,22.489,Professional,Percussion
420,14,1492.132,13:27.5,A3a3,13:26.0,552,0 days 00:00:00.510839000,13:26.2,13:25.7,13:25.9,-28.237,18.17310526,49.69329356,1376.1515,114.4399009,2,198.864,Professional,Percussion
421,15,1420.773,13:27.9,A3a3,13:26.5,552,0 days 00:00:00.487619000,13:26.7,13:26.2,13:26.6,170.627,18.17310526,49.69329356,1376.1515,114.4399009,2,-141.211,Professional,Percussion
422,16,1322.587,13:28.3,A3a3,13:27.0,552,0 days 00:00:00.441179000,13:27.2,13:26.7,13:27.0,29.416,18.17310526,49.69329356,1376.1515,114.4399009,2,23.079,Professional,Percussion
423,17,1238.283,13:28.6,A3a3,13:27.4,552,0 days 00:00:00.441179000,13:27.6,13:27.2,13:27.5,52.495,18.17310526,49.69329356,1376.1515,114.4399009,2,-1.699,Professional,Percussion
424,18,1210.068,13:29.1,A3a3,13:27.8,552,0 days 00:00:00.394739000,13:28.0,13:27.6,13:27.9,50.796,18.17310526,49.69329356,1376.1515,114.4399009,2,-5.306,Professional,Percussion
425,19,1260.74,13:29.5,A3a3,13:28.2,552,0 days 00:00:00.417960000,13:28.5,13:28.0,13:28.3,45.49,18.17310526,49.69329356,1376.1515,114.4399009,2,-61.085,Professional,Percussion
426,20,1394.469,13:30.1,A3a3,13:28.7,552,0 days 00:00:00.394739000,13:28.9,13:28.5,13:28.6,-15.595,18.17310526,49.69329356,1376.1515,114.4399009,2,18.225,Professional,Percussion
427,21,,,A3a3,13:29.1,552,0 days 00:00:00.441179000,13:29.3,13:28.9,13:29.1,2.63,18.17310526,49.69329356,1376.1515,114.4399009,2,,Professional,Percussion
428,1,941.857,15:10.5,A3a4,15:09.6,552,0 days 00:00:00.301859000,15:09.7,15:09.4,,,12.763,43.61349989,1014.426517,76.99864137,2,,Professional,Percussion
429,2,947.06,15:10.8,A3a4,15:09.9,552,0 days 00:00:00.301860000,15:10.0,15:09.7,,,12.763,43.61349989,1014.426517,76.99864137,2,,Professional,Percussion
430,3,927.66,15:11.1,A3a4,15:10.2,552,0 days 00:00:00.325079000,15:10.3,15:10.0,15:10.2,23.613,12.763,43.61349989,1014.426517,76.99864137,2,-10.554,Professional,Percussion
431,4,932.563,15:11.4,A3a4,15:10.5,552,0 days 00:00:00.301859000,15:10.6,15:10.3,15:10.5,13.059,12.763,43.61349989,1014.426517,76.99864137,2,5.203,Professional,Percussion
432,5,992.711,15:11.8,A3a4,15:10.8,552,0 days 00:00:00.325080000,15:11.0,15:10.6,15:10.8,18.262,12.763,43.61349989,1014.426517,76.99864137,2,-42.62,Professional,Percussion
433,6,1050.375,15:12.2,A3a4,15:11.1,552,0 days 00:00:00.325079000,15:11.3,15:11.0,15:11.1,-24.358,12.763,43.61349989,1014.426517,76.99864137,2,4.903,Professional,Percussion
434,7,1071.26,15:12.5,A3a4,15:11.5,552,0 days 00:00:00.348299000,15:11.6,15:11.3,15:11.4,-19.455,12.763,43.61349989,1014.426517,76.99864137,2,13.708,Professional,Percussion
435,8,1053.614,15:12.9,A3a4,15:11.8,552,0 days 00:00:00.348300000,15:12.0,15:11.6,15:11.8,-5.747,12.763,43.61349989,1014.426517,76.99864137,2,34.444,Professional,Percussion
436,9,1077.928,15:13.2,A3a4,15:12.1,552,0 days 00:00:00.348299000,15:12.3,15:12.0,15:12.2,28.697,12.763,43.61349989,1014.426517,76.99864137,2,-2.335,Professional,Percussion
437,10,1093.006,15:13.6,A3a4,15:12.5,552,0 days 00:00:00.371519000,15:12.7,15:12.3,15:12.5,26.362,12.763,43.61349989,1014.426517,76.99864137,2,-40.866,Professional,Percussion
438,11,992.298,15:13.9,A3a4,15:12.9,552,0 days 00:00:00.348300000,15:13.0,15:12.7,15:12.9,-14.504,12.763,43.61349989,1014.426517,76.99864137,2,24.314,Professional,Percussion
439,12,985.215,15:14.2,A3a4,15:13.2,552,0 days 00:00:00.325079000,15:13.4,15:13.0,15:13.2,9.81,12.763,43.61349989,1014.426517,76.99864137,2,38.298,Professional,Percussion
440,13,1114.742,15:14.7,A3a4,15:13.5,552,0 days 00:00:00.325079000,15:13.7,15:13.4,15:13.6,48.108,12.763,43.61349989,1014.426517,76.99864137,2,-54.268,Professional,Percussion
441,14,957.463,15:14.8,A3a4,15:13.9,552,0 days 00:00:00.325080000,15:14.0,15:13.7,15:13.9,-6.16,12.763,43.61349989,1014.426517,76.99864137,2,16.137,Professional,Percussion
442,15,935.908,15:15.1,A3a4,15:14.2,552,0 days 00:00:00.325079000,15:14.4,15:14.0,15:14.2,9.977,12.763,43.61349989,1014.426517,76.99864137,2,129.527,Professional,Percussion
443,16,927.541,15:15.4,A3a4,15:14.5,552,0 days 00:00:00.301859000,15:14.7,15:14.4,15:14.7,139.504,12.763,43.61349989,1014.426517,76.99864137,2,-134.059,Professional,Percussion
444,17,998.342,15:15.8,A3a4,15:14.8,552,0 days 00:00:00.325080000,15:15.0,15:14.7,15:14.8,5.445,12.763,43.61349989,1014.426517,76.99864137,2,-21.555,Professional,Percussion
445,18,1040.788,15:16.2,A3a4,15:15.1,552,0 days 00:00:00.348299000,15:15.3,15:15.0,15:15.1,-16.11,12.763,43.61349989,1014.426517,76.99864137,2,-31.587,Professional,Percussion
446,19,1059.732,15:16.6,A3a4,15:15.5,552,0 days 00:00:00.348299000,15:15.7,15:15.3,15:15.4,-47.697,12.763,43.61349989,1014.426517,76.99864137,2,24.361,Professional,Percussion
447,20,1085.875,15:16.9,A3a4,15:15.8,552,0 days 00:00:00.348300000,15:16.0,15:15.7,15:15.8,-23.336,12.763,43.61349989,1014.426517,76.99864137,2,19.226,Professional,Percussion
448,21,1106.985,15:17.3,A3a4,15:16.2,552,0 days 00:00:00.371519000,15:16.4,15:16.0,15:16.2,-4.11,12.763,43.61349989,1014.426517,76.99864137,2,-4.276,Professional,Percussion
449,22,1204.253,15:17.8,A3a4,15:16.6,552,0 days 00:00:00.348299000,15:16.7,15:16.4,15:16.6,-8.386,12.763,43.61349989,1014.426517,76.99864137,2,26.143,Professional,Percussion
450,23,1003.854,15:17.9,A3a4,15:16.9,552,0 days 00:00:00.371520000,15:17.1,15:16.7,15:16.9,17.757,12.763,43.61349989,1014.426517,76.99864137,2,-2.11,Professional,Percussion
451,24,965.813,15:18.2,A3a4,15:17.3,552,0 days 00:00:00.325079000,15:17.4,15:17.1,15:17.3,15.647,12.763,43.61349989,1014.426517,76.99864137,2,143.708,Professional,Percussion
452,25,948.374,15:18.6,A3a4,15:17.6,552,0 days 00:00:00.325079000,15:17.8,15:17.4,15:17.8,159.355,12.763,43.61349989,1014.426517,76.99864137,2,-177.179,Professional,Percussion
453,26,932.541,15:18.9,A3a4,15:17.9,552,0 days 00:00:00.301860000,15:18.1,15:17.8,15:17.9,-17.824,12.763,43.61349989,1014.426517,76.99864137,2,31.619,Professional,Percussion
454,27,944.36,15:19.2,A3a4,15:18.2,552,0 days 00:00:00.301859000,15:18.4,15:18.1,15:18.2,13.795,12.763,43.61349989,1014.426517,76.99864137,2,5.781,Professional,Percussion
455,28,960.75,15:19.5,A3a4,15:18.5,552,0 days 00:00:00.325080000,15:18.7,15:18.4,15:18.6,19.576,12.763,43.61349989,1014.426517,76.99864137,2,-15.834,Professional,Percussion
456,29,1165.501,15:20.0,A3a4,15:18.9,552,0 days 00:00:00.325079000,15:19.0,15:18.7,15:18.9,3.742,12.763,43.61349989,1014.426517,76.99864137,2,-11.4,Professional,Percussion
457,30,,,A3a4,15:19.2,552,0 days 00:00:00.325079000,15:19.3,15:19.0,15:19.2,-7.658,12.763,43.61349989,1014.426517,76.99864137,2,,Professional,Percussion
458,1,2148.216,25:29.2,A3b1,25:27.0,552,0 days 00:00:01.068118000,25:27.5,25:26.4,,,-262.0372727,297.9299515,1328.419,1302.953088,2,,Professional,Percussion
459,2,2802.154,25:30.9,A3b1,25:28.1,552,0 days 00:00:01.532517000,25:28.8,25:27.5,25:28.1,35.962,-262.0372727,297.9299515,1328.419,1302.953088,2,-488.381,Professional,Percussion
460,3,3428.282,25:33.0,A3b1,25:29.6,552,0 days 00:00:01.787936000,25:30.5,25:28.8,25:29.2,-452.419,-262.0372727,297.9299515,1328.419,1302.953088,2,-65.88,Professional,Percussion
461,4,2234.086,25:33.6,A3b1,25:31.4,552,0 days 00:00:01.114558000,25:31.9,25:30.5,25:30.9,-518.299,-262.0372727,297.9299515,1328.419,1302.953088,2,,Professional,Percussion
462,5,2107.972,25:34.6,A3b1,25:32.5,552,0 days 00:00:00.998458000,25:33.0,25:31.9,,,-262.0372727,297.9299515,1328.419,1302.953088,2,,Professional,Percussion
463,6,2177.606,25:35.7,A3b1,25:33.5,552,0 days 00:00:01.068118000,25:34.0,25:33.0,25:33.0,-472.67,-262.0372727,297.9299515,1328.419,1302.953088,2,514.066,Professional,Percussion
464,7,1731.599,25:36.3,A3b1,25:34.6,552,0 days 00:00:01.648617000,25:35.4,25:34.0,25:34.6,41.396,-262.0372727,297.9299515,1328.419,1302.953088,2,-580.525,Professional,Percussion
465,8,1116.206,25:37.3,A3b1,25:36.2,552,0 days 00:00:01.346757000,25:36.9,25:35.4,25:35.7,-539.129,-262.0372727,297.9299515,1328.419,1302.953088,2,308.578,Professional,Percussion
466,9,270.026,25:37.8,A3b1,25:37.6,552,0 days 00:00:01.068118000,25:38.1,25:36.9,25:37.3,-230.551,-262.0372727,297.9299515,1328.419,1302.953088,2,364.997,Professional,Percussion
467,10,134.446,25:38.8,A3b1,25:38.6,552,0 days 00:00:01.555737000,25:39.4,25:38.1,25:38.8,134.446,-262.0372727,297.9299515,1328.419,1302.953088,2,-573.236,Professional,Percussion
468,11,-438.79,25:39.8,A3b1,25:40.2,552,0 days 00:00:01.880816000,25:41.1,25:39.4,25:39.8,-438.79,-262.0372727,297.9299515,1328.419,1302.953088,2,-163.777,Professional,Percussion
469,12,-602.567,25:41.5,A3b1,25:42.1,552,0 days 00:00:01.230658000,25:42.7,25:41.1,25:41.5,-602.567,-262.0372727,297.9299515,1328.419,1302.953088,2,762.778,Professional,Percussion
470,13,160.211,25:43.5,A3b1,25:43.3,552,0 days 00:00:01.044898000,25:43.8,25:42.7,25:43.5,160.211,-262.0372727,297.9299515,1328.419,1302.953088,2,,Professional,Percussion
471,1,1224.586,24:32.3,A3b2,24:31.1,552,0 days 00:00:00.603719000,24:31.4,24:30.8,,,22.76066667,109.289306,1333.475846,127.1632204,1,,Professional,Percussion
472,2,1404.36,24:33.1,A3b2,24:31.7,552,0 days 00:00:00.696598000,24:32.0,24:31.4,24:31.7,37.077,22.76066667,109.289306,1333.475846,127.1632204,1,-112.808,Professional,Percussion
473,3,1571.261,24:33.9,A3b2,24:32.4,552,0 days 00:00:00.743039000,24:32.7,24:32.0,24:32.3,-75.731,22.76066667,109.289306,1333.475846,127.1632204,1,40.454,Professional,Percussion
474,4,1285.714,24:34.4,A3b2,24:33.1,552,0 days 00:00:00.626939000,24:33.4,24:32.7,24:33.1,-35.277,22.76066667,109.289306,1333.475846,127.1632204,1,236.56,Professional,Percussion
475,5,1281.977,24:35.0,A3b2,24:33.7,552,0 days 00:00:00.557278000,24:34.0,24:33.4,24:33.9,201.283,22.76066667,109.289306,1333.475846,127.1632204,1,-99.786,Professional,Percussion
476,6,1244.891,24:35.5,A3b2,24:34.3,552,0 days 00:00:00.603719000,24:34.6,24:34.0,24:34.4,101.497,22.76066667,109.289306,1333.475846,127.1632204,1,19.483,Professional,Percussion
477,7,1403.954,24:36.3,A3b2,24:34.9,552,0 days 00:00:00.719819000,24:35.3,24:34.6,24:35.0,120.98,22.76066667,109.289306,1333.475846,127.1632204,1,-199.627,Professional,Percussion
478,8,1305.15,24:36.9,A3b2,24:35.6,552,0 days 00:00:00.673379000,24:36.0,24:35.3,24:35.5,-78.647,22.76066667,109.289306,1333.475846,127.1632204,1,89.403,Professional,Percussion
479,9,1162.553,24:37.5,A3b2,24:36.3,552,0 days 00:00:00.580498000,24:36.6,24:36.0,24:36.3,10.756,22.76066667,109.289306,1333.475846,127.1632204,1,40.517,Professional,Percussion
480,10,1396.721,24:38.3,A3b2,24:36.9,552,0 days 00:00:00.719819000,24:37.2,24:36.6,24:36.9,51.273,22.76066667,109.289306,1333.475846,127.1632204,1,-189.037,Professional,Percussion
481,11,1560.235,24:39.2,A3b2,24:37.6,552,0 days 00:00:00.766259000,24:38.0,24:37.2,24:37.5,-137.764,22.76066667,109.289306,1333.475846,127.1632204,1,48.407,Professional,Percussion
482,12,1281.853,24:39.6,A3b2,24:38.4,552,0 days 00:00:00.626938000,24:38.7,24:38.0,24:38.3,-89.357,22.76066667,109.289306,1333.475846,127.1632204,1,256.395,Professional,Percussion
483,13,1211.931,24:40.2,A3b2,24:39.0,552,0 days 00:00:00.580499000,24:39.3,24:38.7,24:39.2,167.038,22.76066667,109.289306,1333.475846,127.1632204,1,,Professional,Percussion
484,1,847.071,27:30.6,A3b3,27:29.8,552,0 days 00:00:00.394739000,27:30.0,27:29.5,,,30.02714286,34.68501304,1018.221864,155.0817979,2,,Professional,Percussion
485,2,854.2,27:31.0,A3b3,27:30.2,552,0 days 00:00:00.417960000,27:30.4,27:30.0,27:30.2,35.325,30.02714286,34.68501304,1018.221864,155.0817979,2,-0.953,Professional,Percussion
486,3,814.227,27:31.4,A3b3,27:30.6,552,0 days 00:00:00.394739000,27:30.8,27:30.4,27:30.6,34.372,30.02714286,34.68501304,1018.221864,155.0817979,2,7.129,Professional,Percussion
487,4,879.442,27:31.9,A3b3,27:31.0,552,0 days 00:00:00.417959000,27:31.2,27:30.8,27:31.0,41.501,30.02714286,34.68501304,1018.221864,155.0817979,2,-39.972,Professional,Percussion
488,5,998.956,27:32.4,A3b3,27:31.4,552,0 days 00:00:00.464399000,27:31.6,27:31.2,27:31.4,1.529,30.02714286,34.68501304,1018.221864,155.0817979,2,-4.445,Professional,Percussion
489,6,978.636,27:32.8,A3b3,27:31.9,552,0 days 00:00:00.464399000,27:32.1,27:31.6,27:31.9,-2.916,30.02714286,34.68501304,1018.221864,155.0817979,2,73.074,Professional,Percussion
490,7,1021.098,27:33.4,A3b3,27:32.3,552,0 days 00:00:00.510839000,27:32.6,27:32.1,27:32.4,70.158,30.02714286,34.68501304,1018.221864,155.0817979,2,-66.76,Professional,Percussion
491,8,1107.039,27:34.0,A3b3,27:32.8,552,0 days 00:00:00.487619000,27:33.1,27:32.6,27:32.8,3.398,30.02714286,34.68501304,1018.221864,155.0817979,2,19.242,Professional,Percussion
492,9,984.496,27:34.3,A3b3,27:33.3,552,0 days 00:00:00.487619000,27:33.6,27:33.1,27:33.4,22.64,30.02714286,34.68501304,1018.221864,155.0817979,2,109.161,Professional,Percussion
493,10,959.905,27:34.8,A3b3,27:33.8,552,0 days 00:00:00.464399000,27:34.1,27:33.6,27:34.0,131.801,30.02714286,34.68501304,1018.221864,155.0817979,2,-99.323,Professional,Percussion
494,11,947.428,27:35.2,A3b3,27:34.3,552,0 days 00:00:00.464399000,27:34.5,27:34.1,27:34.3,32.478,30.02714286,34.68501304,1018.221864,155.0817979,2,-1.371,Professional,Percussion
495,12,860.113,27:35.6,A3b3,27:34.7,552,0 days 00:00:00.417960000,27:35.0,27:34.5,27:34.8,31.107,30.02714286,34.68501304,1018.221864,155.0817979,2,33.962,Professional,Percussion
496,13,886.293,27:36.1,A3b3,27:35.2,552,0 days 00:00:00.441179000,27:35.4,27:35.0,27:35.2,65.069,30.02714286,34.68501304,1018.221864,155.0817979,2,-64.095,Professional,Percussion
497,14,1008.96,27:36.6,A3b3,27:35.6,552,0 days 00:00:00.487619000,27:35.9,27:35.4,27:35.6,0.974,30.02714286,34.68501304,1018.221864,155.0817979,2,-43.479,Professional,Percussion
498,15,1019.233,27:37.1,A3b3,27:36.1,552,0 days 00:00:00.487619000,27:36.3,27:35.9,27:36.1,-42.505,30.02714286,34.68501304,1018.221864,155.0817979,2,76.227,Professional,Percussion
499,16,987.88,27:37.6,A3b3,27:36.6,552,0 days 00:00:00.487619000,27:36.8,27:36.3,27:36.6,33.722,30.02714286,34.68501304,1018.221864,155.0817979,2,10.273,Professional,Percussion
500,17,926.942,27:38.0,A3b3,27:37.1,552,0 days 00:00:00.116100000,27:37.1,27:36.8,27:37.1,43.995,30.02714286,34.68501304,1018.221864,155.0817979,2,,Professional,Percussion
501,18,1223.276,27:38.4,A3b3,27:37.2,552,0 days 00:00:00.348299000,27:37.4,27:37.1,,,30.02714286,34.68501304,1018.221864,155.0817979,2,,Professional,Percussion
502,19,1230.211,27:38.8,A3b3,27:37.5,552,0 days 00:00:00.417959000,27:37.7,27:37.4,27:37.6,35.862,30.02714286,34.68501304,1018.221864,155.0817979,2,8.722,Professional,Percussion
503,20,1239.522,27:39.2,A3b3,27:38.0,552,0 days 00:00:00.417959000,27:38.2,27:37.7,27:38.0,44.584,30.02714286,34.68501304,1018.221864,155.0817979,2,-5.525,Professional,Percussion
504,21,1253.231,27:39.6,A3b3,27:38.4,552,0 days 00:00:00.394740000,27:38.6,27:38.2,27:38.4,39.059,30.02714286,34.68501304,1018.221864,155.0817979,2,-39.506,Professional,Percussion
505,22,1372.722,27:40.1,A3b3,27:38.8,552,0 days 00:00:00.417959000,27:39.0,27:38.6,27:38.8,-0.447,30.02714286,34.68501304,1018.221864,155.0817979,2,9.311,Professional,Percussion
506,23,,,A3b3,27:39.2,552,0 days 00:00:00.417959000,27:39.4,27:39.0,27:39.2,8.864,30.02714286,34.68501304,1018.221864,155.0817979,2,,Professional,Percussion
507,1,1276.881,24:16.3,A3b4,24:15.0,552,0 days 00:00:00.325080000,24:15.2,24:14.9,,,17.79185185,36.37631328,1359.540345,85.58609784,4,,Professional,Percussion
508,2,1259.152,24:16.6,A3b4,24:15.4,552,0 days 00:00:00.301859000,24:15.5,24:15.2,,,17.79185185,36.37631328,1359.540345,85.58609784,4,,Professional,Percussion
509,3,1239.745,24:16.9,A3b4,24:15.7,552,0 days 00:00:00.325079000,24:15.8,24:15.5,,,17.79185185,36.37631328,1359.540345,85.58609784,4,,Professional,Percussion
510,4,1260.31,24:17.2,A3b4,24:16.0,552,0 days 00:00:00.301860000,24:16.1,24:15.8,24:16.0,-6.411,17.79185185,36.37631328,1359.540345,85.58609784,4,29.414,Professional,Percussion
511,5,1363.895,24:17.7,A3b4,24:16.3,552,0 days 00:00:00.301859000,24:16.4,24:16.1,24:16.3,23.003,17.79185185,36.37631328,1359.540345,85.58609784,4,5.492,Professional,Percussion
512,6,1395.177,24:18.0,A3b4,24:16.6,552,0 days 00:00:00.325080000,24:16.8,24:16.4,24:16.6,28.495,17.79185185,36.37631328,1359.540345,85.58609784,4,-42.628,Professional,Percussion
513,7,1393.743,24:18.3,A3b4,24:16.9,552,0 days 00:00:00.348299000,24:17.1,24:16.8,24:16.9,-14.133,17.79185185,36.37631328,1359.540345,85.58609784,4,-2.655,Professional,Percussion
514,8,1422.459,24:18.7,A3b4,24:17.3,552,0 days 00:00:00.325079000,24:17.4,24:17.1,24:17.2,-16.788,17.79185185,36.37631328,1359.540345,85.58609784,4,80.366,Professional,Percussion
515,9,1461.637,24:19.1,A3b4,24:17.6,552,0 days 00:00:00.371520000,24:17.8,24:17.4,24:17.7,63.578,17.79185185,36.37631328,1359.540345,85.58609784,4,-38.379,Professional,Percussion
516,10,1422.889,24:19.4,A3b4,24:18.0,552,0 days 00:00:00.348299000,24:18.1,24:17.8,24:18.0,25.199,17.79185185,36.37631328,1359.540345,85.58609784,4,-24.653,Professional,Percussion
517,11,1387.978,24:19.7,A3b4,24:18.3,552,0 days 00:00:00.348299000,24:18.5,24:18.1,24:18.3,0.546,17.79185185,36.37631328,1359.540345,85.58609784,4,28.716,Professional,Percussion
518,12,1446.925,24:20.1,A3b4,24:18.7,552,0 days 00:00:00.348300000,24:18.8,24:18.5,24:18.7,29.262,17.79185185,36.37631328,1359.540345,85.58609784,4,15.957,Professional,Percussion
519,13,1318.301,24:20.3,A3b4,24:19.0,552,0 days 00:00:00.348299000,24:19.2,24:18.8,24:19.1,45.219,17.79185185,36.37631328,1359.540345,85.58609784,4,-15.527,Professional,Percussion
520,14,1287.946,24:20.6,A3b4,24:19.4,552,0 days 00:00:00.325079000,24:19.5,24:19.2,24:19.4,29.692,17.79185185,36.37631328,1359.540345,85.58609784,4,-11.691,Professional,Percussion
521,15,1278.14,24:21.0,A3b4,24:19.7,552,0 days 00:00:00.301860000,24:19.8,24:19.5,24:19.7,18.001,17.79185185,36.37631328,1359.540345,85.58609784,4,105.386,Professional,Percussion
522,16,1291.829,24:21.3,A3b4,24:20.0,552,0 days 00:00:00.325079000,24:20.1,24:19.8,24:20.1,123.387,17.79185185,36.37631328,1359.540345,85.58609784,4,-105.403,Professional,Percussion
523,17,1329.934,24:21.6,A3b4,24:20.3,552,0 days 00:00:00.301859000,24:20.5,24:20.1,24:20.3,17.984,17.79185185,36.37631328,1359.540345,85.58609784,4,16.085,Professional,Percussion
524,18,1381.566,24:22.0,A3b4,24:20.6,552,0 days 00:00:00.325080000,24:20.8,24:20.5,24:20.6,34.069,17.79185185,36.37631328,1359.540345,85.58609784,4,-9.807,Professional,Percussion
525,19,1472.468,24:22.4,A3b4,24:20.9,552,0 days 00:00:00.348299000,24:21.1,24:20.8,24:21.0,24.262,17.79185185,36.37631328,1359.540345,85.58609784,4,-32.75,Professional,Percussion
526,20,1440.772,24:22.7,A3b4,24:21.3,552,0 days 00:00:00.348299000,24:21.5,24:21.1,24:21.3,-8.488,17.79185185,36.37631328,1359.540345,85.58609784,4,14.885,Professional,Percussion
527,21,1455.695,24:23.1,A3b4,24:21.6,552,0 days 00:00:00.371520000,24:21.8,24:21.5,24:21.6,6.397,17.79185185,36.37631328,1359.540345,85.58609784,4,-18.029,Professional,Percussion
528,22,1440.208,24:23.4,A3b4,24:22.0,552,0 days 00:00:00.348299000,24:22.2,24:21.8,24:22.0,-11.632,17.79185185,36.37631328,1359.540345,85.58609784,4,67.683,Professional,Percussion
529,23,1582.382,24:23.9,A3b4,24:22.3,552,0 days 00:00:00.371519000,24:22.5,24:22.2,24:22.4,56.051,17.79185185,36.37631328,1359.540345,85.58609784,4,-54.916,Professional,Percussion
530,24,1322.817,24:24.0,A3b4,24:22.7,552,0 days 00:00:00.348300000,24:22.9,24:22.5,24:22.7,1.135,17.79185185,36.37631328,1359.540345,85.58609784,4,14.922,Professional,Percussion
531,25,1302.551,24:24.4,A3b4,24:23.1,552,0 days 00:00:00.325079000,24:23.2,24:22.9,24:23.1,16.057,17.79185185,36.37631328,1359.540345,85.58609784,4,30.954,Professional,Percussion
532,26,1274.591,24:24.7,A3b4,24:23.4,552,0 days 00:00:00.325079000,24:23.6,24:23.2,24:23.4,47.011,17.79185185,36.37631328,1359.540345,85.58609784,4,,Professional,Percussion
533,27,1245.65,24:25.0,A3b4,24:23.7,552,0 days 00:00:00.301860000,24:23.9,24:23.6,,,17.79185185,36.37631328,1359.540345,85.58609784,4,,Professional,Percussion
534,28,1287.595,24:25.3,A3b4,24:24.0,552,0 days 00:00:00.325079000,24:24.2,24:23.9,24:23.9,-89.455,17.79185185,36.37631328,1359.540345,85.58609784,4,114.909,Professional,Percussion
535,29,1383.434,24:25.7,A3b4,24:24.3,552,0 days 00:00:00.301860000,24:24.5,24:24.2,24:24.4,25.454,17.79185185,36.37631328,1359.540345,85.58609784,4,-4.741,Professional,Percussion
