,Asynchrony,IOI,Max,Mean Asynchrony,Min,Missed Taps,Phase Correction Response,Sanitized Asynchrony,Sanitized Mean Asynchrony,Sanitized Std Dev Asynchrony,Sanitized Tap Onset,Std Dev Asynchrony,Tap Onset,Test,True Onset,Unnamed: 0,Unnamed: 0.1,User ID
0,-157.609,1343.1629999999998,2018-07-21 21:51:38.239034,-291.2325,2018-07-21 21:51:36.903681,0,-8.151999999999987,-157.609,-291.2325,93.03409242608568,2018-07-21 21:51:37.409843,93.03409242608568,2018-07-21 21:51:37.409843,H1a1,2018-07-21 21:51:37.567452,0,1,130
1,-165.761,1327.4979999999996,2018-07-21 21:51:39.574364,-291.2325,2018-07-21 21:51:38.239034,0,-17.712000000000018,-165.761,-291.2325,93.03409242608568,2018-07-21 21:51:38.744854,93.03409242608568,2018-07-21 21:51:38.744854,H1a1,2018-07-21 21:51:38.910615,1,2,130
2,-183.473,1327.2089999999996,2018-07-21 21:51:40.901718,-291.2325,2018-07-21 21:51:39.574364,0,-61.899999999999984,-183.473,-291.2325,93.03409242608568,2018-07-21 21:51:40.054640,93.03409242608568,2018-07-21 21:51:40.054640,H1a1,2018-07-21 21:51:40.238113,2,3,130
3,-245.373,1343.458,2018-07-21 21:51:42.237051,-291.2325,2018-07-21 21:51:40.901718,0,-74.18299999999998,-245.373,-291.2325,93.03409242608568,2018-07-21 21:51:41.319949,93.03409242608568,2018-07-21 21:51:41.319949,H1a1,2018-07-21 21:51:41.565322,3,4,130
4,-319.556,1327.354,2018-07-21 21:51:43.572457,-291.2325,2018-07-21 21:51:42.237051,0,-82.79299999999998,-319.556,-291.2325,93.03409242608568,2018-07-21 21:51:42.589224,93.03409242608568,2018-07-21 21:51:42.589224,H1a1,2018-07-21 21:51:42.908780,4,5,130
5,-402.349,1327.236,2018-07-21 21:51:44.899752,-291.2325,2018-07-21 21:51:43.572457,0,19.581999999999994,-402.349,-291.2325,93.03409242608568,2018-07-21 21:51:43.833785,93.03409242608568,2018-07-21 21:51:43.833785,H1a1,2018-07-21 21:51:44.236134,5,6,130
6,-382.767,1327.494,2018-07-21 21:51:46.227117,-291.2325,2018-07-21 21:51:44.899752,0,80.971,-382.767,-291.2325,93.03409242608568,2018-07-21 21:51:45.180603,93.03409242608568,2018-07-21 21:51:45.180603,H1a1,2018-07-21 21:51:45.563370,6,7,130
7,-301.796,1343.318,2018-07-21 21:51:47.562523,-291.2325,2018-07-21 21:51:46.227117,0,-53.50700000000001,-301.796,-291.2325,93.03409242608568,2018-07-21 21:51:46.589068,93.03409242608568,2018-07-21 21:51:46.589068,H1a1,2018-07-21 21:51:46.890864,7,8,130
8,-355.30300000000005,1327.203,2018-07-21 21:51:48.897783,-291.2325,2018-07-21 21:51:47.562523,0,130.317,-355.30300000000005,-291.2325,93.03409242608568,2018-07-21 21:51:47.878879,93.03409242608568,2018-07-21 21:51:47.878879,H1a1,2018-07-21 21:51:48.234182,8,9,130
9,-224.986,1327.53,2018-07-21 21:51:50.225150,-291.2325,2018-07-21 21:51:48.897783,0,-115.93,-224.986,-291.2325,93.03409242608568,2018-07-21 21:51:49.336399,93.03409242608568,2018-07-21 21:51:49.336399,H1a1,2018-07-21 21:51:49.561385,9,10,130
10,-340.916,1343.4229999999998,2018-07-21 21:51:51.560627,-291.2325,2018-07-21 21:51:50.225150,0,-73.98500000000001,-340.916,-291.2325,93.03409242608568,2018-07-21 21:51:50.547999,93.03409242608568,2018-07-21 21:51:50.547999,H1a1,2018-07-21 21:51:50.888915,10,11,130
11,-414.901,1327.3529999999996,2018-07-21 21:51:52.896015,-291.2325,2018-07-21 21:51:51.560627,0,,-414.901,-291.2325,93.03409242608568,2018-07-21 21:51:51.817437,93.03409242608568,2018-07-21 21:51:51.817437,H1a1,2018-07-21 21:51:52.232338,11,12,130
12,61.146,671.523,2018-07-21 21:53:01.397845,-152.15682608695653,2018-07-21 21:53:00.734082,0,-200.584,61.146,-152.15682608695653,51.81554052567993,2018-07-21 21:53:01.123229,51.81554052567993,2018-07-21 21:53:01.123229,H1a2,2018-07-21 21:53:01.062083,12,1,130
13,-139.438,671.7769999999998,2018-07-21 21:53:02.069495,-152.15682608695653,2018-07-21 21:53:01.397845,0,-82.197,-139.438,-152.15682608695653,51.81554052567993,2018-07-21 21:53:01.594168,51.81554052567993,2018-07-21 21:53:01.594168,H1a2,2018-07-21 21:53:01.733606,13,2,130
